MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202406.0,2024-06-01,99374.0,INAB,Consumidor Especial,SUL,35.88,6.5754280000000005
202406.0,2024-06-02,99374.0,INAB,Consumidor Especial,SUL,35.88,6.7944
202406.0,2024-06-03,99374.0,INAB,Consumidor Especial,SUL,35.88,19.19118
202406.0,2024-06-04,99374.0,INAB,Consumidor Especial,SUL,35.88,18.666198
202406.0,2024-06-05,99374.0,INAB,Consumidor Especial,SUL,35.88,18.44224
202406.0,2024-06-06,99374.0,INAB,Consumidor Especial,SUL,35.88,19.538706
202406.0,2024-06-07,99374.0,INAB,Consumidor Especial,SUL,35.88,19.903189
202406.0,2024-06-08,99374.0,INAB,Consumidor Especial,SUL,35.88,14.438801
202406.0,2024-06-09,99374.0,INAB,Consumidor Especial,SUL,35.88,11.797648
202406.0,2024-06-10,99374.0,INAB,Consumidor Especial,SUL,35.88,24.630019
202406.0,2024-06-11,99374.0,INAB,Consumidor Especial,SUL,35.88,26.787738
202406.0,2024-06-12,99374.0,INAB,Consumidor Especial,SUL,35.88,19.838314
202406.0,2024-06-13,99374.0,INAB,Consumidor Especial,SUL,35.88,23.88393
202406.0,2024-06-14,99374.0,INAB,Consumidor Especial,SUL,35.88,18.413268
202406.0,2024-06-15,99374.0,INAB,Consumidor Especial,SUL,35.88,13.416951
202406.0,2024-06-16,99374.0,INAB,Consumidor Especial,SUL,35.88,10.659203
202406.0,2024-06-17,99374.0,INAB,Consumidor Especial,SUL,35.88,26.951397
202406.0,2024-06-18,99374.0,INAB,Consumidor Especial,SUL,35.88,28.385028
202406.0,2024-06-19,99374.0,INAB,Consumidor Especial,SUL,35.88,25.09288
202406.0,2024-06-20,99374.0,INAB,Consumidor Especial,SUL,35.88,26.060334
202406.0,2024-06-21,99374.0,INAB,Consumidor Especial,SUL,35.88,18.72643
202406.0,2024-06-22,99374.0,INAB,Consumidor Especial,SUL,35.88,13.153574
202406.0,2024-06-23,99374.0,INAB,Consumidor Especial,SUL,35.88,10.431807
202406.0,2024-06-24,99374.0,INAB,Consumidor Especial,SUL,35.88,25.607511
202406.0,2024-06-25,99374.0,INAB,Consumidor Especial,SUL,35.88,24.033976
202406.0,2024-06-26,99374.0,INAB,Consumidor Especial,SUL,35.88,19.92915
202406.0,2024-06-27,99374.0,INAB,Consumidor Especial,SUL,35.88,22.046067
202406.0,2024-06-28,99374.0,INAB,Consumidor Especial,SUL,35.88,25.167776
