MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,0.10039
,2022-01-02,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,0.104514
,2022-01-03,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,0.113773
,2022-01-04,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,0.117591
,2022-01-05,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,0.116648
,2022-01-06,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,0.124358
,2022-01-07,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,0.112337
,2022-01-08,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,0.099291
,2022-01-09,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,0.100067
,2022-01-10,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,1.976641
,2022-01-11,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,5.091564
,2022-01-12,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,6.678605
,2022-01-13,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,6.795242
,2022-01-14,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,6.893436
,2022-01-15,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,3.119128
,2022-01-16,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,0.121166
,2022-01-17,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,6.516134
,2022-01-18,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,9.927551
,2022-01-19,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,8.730824
,2022-01-20,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,8.550237
,2022-01-21,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,7.482914
,2022-01-22,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,3.467482
,2022-01-23,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,0.112128
,2022-01-24,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,5.550765
,2022-01-25,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,8.895464
,2022-01-26,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,7.736199
,2022-01-27,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,5.283923
,2022-01-28,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,4.388773
,2022-01-29,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,2.524527
,2022-01-30,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,0.118519
,2022-01-31,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,5.159258
,2022-02-01,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,5.235766
,2022-02-02,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,6.70855
,2022-02-03,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,7.278633
,2022-02-04,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,6.614761000000001
,2022-02-05,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,2.472773
,2022-02-06,94851.0,ISOS,Consumidor Especial,SUDESTE,12.48,0.111215
