MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,43.613981
,2022-01-02,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,19.118594
,2022-01-03,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,39.602308
,2022-01-04,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,55.639924
,2022-01-05,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,57.521257
,2022-01-06,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,56.599517
,2022-01-07,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,56.254895
,2022-01-08,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,43.970945
,2022-01-09,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,22.355671
,2022-01-10,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,54.389226
,2022-01-11,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,57.348108
,2022-01-12,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,45.685187
,2022-01-13,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,53.668667
,2022-01-14,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,55.061984
,2022-01-15,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,47.097943
,2022-01-16,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,29.06087
,2022-01-17,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,56.372145
,2022-01-18,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,56.042897
,2022-01-19,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,56.340399
,2022-01-20,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,58.626733
,2022-01-21,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,52.300075
,2022-01-22,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,43.457651
,2022-01-23,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,32.856982
,2022-01-24,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,53.892053
,2022-01-25,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,57.269298
,2022-01-26,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,57.296411
,2022-01-27,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,58.25751
,2022-01-28,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,56.392265
,2022-01-29,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,51.613256
,2022-01-30,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,22.272503
,2022-01-31,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,52.540254
,2022-02-01,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,54.756075
,2022-02-02,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,55.608458
,2022-02-03,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,55.55052
,2022-02-04,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,55.670859
,2022-02-05,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,42.166663
,2022-02-06,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,23.251135
,2022-02-07,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,54.39243
,2022-02-08,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,53.146853
,2022-02-09,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,52.565091
,2022-02-10,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,51.386524
,2022-02-11,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,53.093046
,2022-02-12,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,39.938407
,2022-02-13,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,21.884085
,2022-02-14,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,51.084646
,2022-02-15,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,48.30894
,2022-02-16,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,47.007816000000005
,2022-02-17,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,46.964585
,2022-02-18,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,46.585631
,2022-02-19,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,43.819129
,2022-02-20,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,18.90751
,2022-02-21,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,44.964682
,2022-02-22,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,45.857027
,2022-02-23,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,47.271
,2022-02-24,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,52.223332
,2022-02-25,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,57.356125
,2022-02-26,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,49.715992
,2022-02-27,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,28.529769
,2022-02-28,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,55.241155
,2022-03-01,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,57.73416
,2022-03-02,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,57.849833
,2022-03-03,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,56.838537
,2022-03-04,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,57.312217
,2022-03-05,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,50.254774
,2022-03-06,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,25.9743
,2022-03-07,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,56.643704
,2022-03-08,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,57.559478
,2022-03-09,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,58.300282
,2022-03-10,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,57.255443
,2022-03-11,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,57.645309
,2022-03-12,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,44.073278
,2022-03-13,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,23.829861
,2022-03-14,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,54.38308
,2022-03-15,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,54.40998
,2022-03-16,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,54.900539
,2022-03-17,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,59.011434
,2022-03-18,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,57.205774
,2022-03-19,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,48.504321
,2022-03-20,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,26.345694
,2022-03-21,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,57.434559
,2022-03-22,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,58.576381
,2022-03-23,86825.0,JBS FRIBOI CL9,Consumidor Livre,SUDESTE,59.760000000000005,57.956902
