MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,0.099386
,2022-01-02,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,0.101834
,2022-01-03,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,2.153754
,2022-01-04,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,3.066096
,2022-01-05,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,2.935523
,2022-01-06,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,3.496611
,2022-01-07,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,3.420177
,2022-01-08,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,0.762746
,2022-01-09,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,0.105678
,2022-01-10,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,3.4506
,2022-01-11,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,3.599364
,2022-01-12,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,3.623499
,2022-01-13,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,3.34717
,2022-01-14,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,3.438282
,2022-01-15,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,0.654361
,2022-01-16,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,0.101415
,2022-01-17,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,3.402875
,2022-01-18,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,3.57977
,2022-01-19,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,2.64582
,2022-01-20,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,3.455614
,2022-01-21,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,3.080055
,2022-01-22,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,0.4575619999999999
,2022-01-23,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,0.111791
,2022-01-24,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,3.334072
,2022-01-25,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,3.501723
,2022-01-26,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,2.234256
,2022-01-27,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,3.861196
,2022-01-28,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,1.192268
,2022-01-29,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,4.187894
,2022-01-30,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,0.098767
,2022-01-31,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,3.261923
,2022-02-01,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,3.448177
,2022-02-02,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,3.784862
,2022-02-03,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,3.8607
,2022-02-04,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,3.848042
,2022-02-05,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,2.439645
,2022-02-06,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,0.100336
,2022-02-07,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,3.468313
,2022-02-08,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,3.484269
,2022-02-09,96674.0,JGK,Consumidor Especial,SUDESTE,12.0,4.012437
