MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.001762
,2023-01-02,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.0017569999999999
,2023-01-03,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.051056
,2023-01-04,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.086445
,2023-01-05,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.079478
,2023-01-06,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.082532
,2023-01-07,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.086068
,2023-01-08,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.092565
,2023-01-09,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.2650099999999999
,2023-01-10,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,1.471631
,2023-01-11,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,1.784256
,2023-01-12,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.115227
,2023-01-13,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,1.95392
,2023-01-14,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.600718
,2023-01-15,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.124896
,2023-01-16,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,1.751814
,2023-01-17,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.295563
,2023-01-18,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.388312
,2023-01-19,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.403417
,2023-01-20,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,1.849467
,2023-01-21,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.3190449999999999
,2023-01-22,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.205349
,2023-01-23,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.055444
,2023-01-24,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.045253
,2023-01-25,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.38443
,2023-01-26,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.309995
,2023-01-27,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.109926
,2023-01-28,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.836932
,2023-01-29,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.635864
,2023-01-30,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.122127
,2023-01-31,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.382996
,2023-02-01,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.351723
,2023-02-02,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.316066
,2023-02-03,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.212608
,2023-02-04,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.711605
,2023-02-05,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.126415
,2023-02-06,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,1.600711
,2023-02-07,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.303709
,2023-02-08,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.279009
,2023-02-09,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.406378
,2023-02-10,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,1.465942
,2023-02-11,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.70584
,2023-02-12,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.5973
,2023-02-13,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,1.680638
,2023-02-14,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.361756
,2023-02-15,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.364133
,2023-02-16,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.236252
,2023-02-17,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,1.959671
,2023-02-18,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.803241
,2023-02-19,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.509985
,2023-02-20,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,1.899192
,2023-02-21,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.432299
,2023-02-22,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.435609
,2023-02-23,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.39555
,2023-02-24,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.126402
,2023-02-25,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.789104
,2023-02-26,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.216322
,2023-02-27,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,1.801883
,2023-02-28,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.210402
,2023-03-01,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.465052
,2023-03-02,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.486243
,2023-03-03,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,1.930229
,2023-03-04,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,1.077996
,2023-03-05,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.645746
,2023-03-06,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.065236
,2023-03-07,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.357642
,2023-03-08,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.362822
,2023-03-09,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.315436
,2023-03-10,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,2.215243
,2023-03-11,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.795081
,2023-03-12,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,0.379722
,2023-03-13,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,1.482878
,2023-03-14,49143.0,LBA CL 514,Consumidor Livre,SUDESTE,12.0,1.8131
