MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-10-01,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,4.810516
,2022-10-02,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,4.5187230000000005
,2022-10-03,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,9.590672
,2022-10-04,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,12.484883
,2022-10-05,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,12.000446
,2022-10-06,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,11.927283
,2022-10-07,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,6.018518
,2022-10-08,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,4.507509
,2022-10-09,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,4.403729
,2022-10-10,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,8.898122
,2022-10-11,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,11.884254
,2022-10-12,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,11.599255
,2022-10-13,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,11.401185
,2022-10-14,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,6.065016
,2022-10-15,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,4.553209
,2022-10-16,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,4.489012
,2022-10-17,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,8.35248
,2022-10-18,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,11.863096
,2022-10-19,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,11.790017
,2022-10-20,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,12.109209
,2022-10-21,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,6.162318
,2022-10-22,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,4.805096
,2022-10-23,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,4.382951
,2022-10-24,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,9.268802
,2022-10-25,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,12.677721
,2022-10-26,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,12.687818
,2022-10-27,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,11.979555
,2022-10-28,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,6.289194999999999
,2022-10-29,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,4.696669
,2022-10-30,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,4.516562
,2022-10-31,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,8.306287
,2022-11-01,41768.0,LEXMAR,Consumidor Especial,SUDESTE,16.32,11.936344
