MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-04-01,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,0.400001
,2022-04-02,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,0.344034
,2022-04-03,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,0.312523
,2022-04-04,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,0.48142
,2022-04-05,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,0.701391
,2022-04-06,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,0.758646
,2022-04-07,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,0.693532
,2022-04-08,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,0.639456
,2022-04-09,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,0.558569
,2022-04-10,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,0.466924
,2022-04-11,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,0.834924
,2022-04-12,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,1.900705
,2022-04-13,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,1.610381
,2022-04-14,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,1.972659
,2022-04-15,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,1.583302
,2022-04-16,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,1.567255
,2022-04-17,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,0.652408
,2022-04-18,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,1.555436
,2022-04-19,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,2.875915
,2022-04-20,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,3.768604
,2022-04-21,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,3.557234
,2022-04-22,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,4.136398
,2022-04-23,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,4.130576
,2022-04-24,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,3.854175
,2022-04-25,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,4.500614
,2022-04-26,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,4.646499
,2022-04-27,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,4.727111
,2022-04-28,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,5.268751
,2022-04-29,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,5.263826
,2022-04-30,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,4.670918
,2022-05-01,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,4.844784
,2022-05-02,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,5.234272
,2022-05-03,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,5.751526
,2022-05-04,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,5.528081
,2022-05-05,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,5.763963
,2022-05-06,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,5.947526
,2022-05-07,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,6.070729
,2022-05-08,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,4.902637
,2022-05-09,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,4.713133
,2022-05-10,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,4.951583
,2022-05-11,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,4.275806
,2022-05-12,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,4.723136
,2022-05-13,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,5.219565
,2022-05-14,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,5.036984
,2022-05-15,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,3.943532
,2022-05-16,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,4.216424
,2022-05-17,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,4.11547
,2022-05-18,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,4.044607
,2022-05-19,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,3.622877
,2022-05-20,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,3.727085
,2022-05-21,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,3.707231
,2022-05-22,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,3.62634
,2022-05-23,37303.0,LOJA - MONTES CLAROS 2,Consumidor Especial,SUDESTE,7.199999999999999,3.857208
