MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,45249.0,MALLORY CL 514,Consumidor Livre,NORDESTE,24.96,1.375151
,2023-01-02,45249.0,MALLORY CL 514,Consumidor Livre,NORDESTE,24.96,2.560737
,2023-01-03,45249.0,MALLORY CL 514,Consumidor Livre,NORDESTE,24.96,2.424453
,2023-01-04,45249.0,MALLORY CL 514,Consumidor Livre,NORDESTE,24.96,2.106712
,2023-01-05,45249.0,MALLORY CL 514,Consumidor Livre,NORDESTE,24.96,2.178733
,2023-01-06,45249.0,MALLORY CL 514,Consumidor Livre,NORDESTE,24.96,1.873368
,2023-01-07,45249.0,MALLORY CL 514,Consumidor Livre,NORDESTE,24.96,3.313488
,2023-01-08,45249.0,MALLORY CL 514,Consumidor Livre,NORDESTE,24.96,1.126217
,2023-01-09,45249.0,MALLORY CL 514,Consumidor Livre,NORDESTE,24.96,10.273579
,2023-01-10,45249.0,MALLORY CL 514,Consumidor Livre,NORDESTE,24.96,14.015229
,2023-01-11,45249.0,MALLORY CL 514,Consumidor Livre,NORDESTE,24.96,13.863184
,2023-01-12,45249.0,MALLORY CL 514,Consumidor Livre,NORDESTE,24.96,14.705518
,2023-01-13,45249.0,MALLORY CL 514,Consumidor Livre,NORDESTE,24.96,13.422732
,2023-01-14,45249.0,MALLORY CL 514,Consumidor Livre,NORDESTE,24.96,12.196635
,2023-01-15,45249.0,MALLORY CL 514,Consumidor Livre,NORDESTE,24.96,3.093319
,2023-01-16,45249.0,MALLORY CL 514,Consumidor Livre,NORDESTE,24.96,10.144474
,2023-01-17,45249.0,MALLORY CL 514,Consumidor Livre,NORDESTE,24.96,13.123825
,2023-01-18,45249.0,MALLORY CL 514,Consumidor Livre,NORDESTE,24.96,12.955891
,2023-01-19,45249.0,MALLORY CL 514,Consumidor Livre,NORDESTE,24.96,13.632528
,2023-01-20,45249.0,MALLORY CL 514,Consumidor Livre,NORDESTE,24.96,12.702007
,2023-01-21,45249.0,MALLORY CL 514,Consumidor Livre,NORDESTE,24.96,13.2847
,2023-01-22,45249.0,MALLORY CL 514,Consumidor Livre,NORDESTE,24.96,3.47336
