MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,3.366111
,2023-01-02,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.223294
,2023-01-03,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.274516
,2023-01-04,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.534188
,2023-01-05,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.962056
,2023-01-06,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.873576
,2023-01-07,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.395322
,2023-01-08,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,3.498565
,2023-01-09,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.476942
,2023-01-10,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.396733
,2023-01-11,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.216401
,2023-01-12,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.370193
,2023-01-13,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.331684
,2023-01-14,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.257111
,2023-01-15,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,4.391795
,2023-01-16,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.69175
,2023-01-17,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.463817
,2023-01-18,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.260244
,2023-01-19,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.756261
,2023-01-20,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.794302
,2023-01-21,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.528789
,2023-01-22,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,3.75464
,2023-01-23,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.0283690000000005
,2023-01-24,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.85621
,2023-01-25,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.35721
,2023-01-26,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.574941
,2023-01-27,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.190261
,2023-01-28,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.303908
,2023-01-29,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,3.719915
,2023-01-30,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.0687690000000005
,2023-01-31,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.953978
,2023-02-01,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.915497
,2023-02-02,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.44012
,2023-02-03,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.506853
,2023-02-04,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.690154
,2023-02-05,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,3.997323
,2023-02-06,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.455579
,2023-02-07,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.132433
,2023-02-08,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.625703
,2023-02-09,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.710336
,2023-02-10,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.123586
,2023-02-11,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.575523
,2023-02-12,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,4.409217
,2023-02-13,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.556877
,2023-02-14,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.325118
,2023-02-15,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.881038
,2023-02-16,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.380189
,2023-02-17,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.469333
,2023-02-18,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.295346
,2023-02-19,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,4.093265
,2023-02-20,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.222050999999999
,2023-02-21,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.863524999999999
,2023-02-22,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.964914999999999
,2023-02-23,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.086476
,2023-02-24,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.916408
,2023-02-25,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.612003
,2023-02-26,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,4.338437
,2023-02-27,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.728150999999999
,2023-02-28,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.211563
,2023-03-01,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.992853999999999
,2023-03-02,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.473749
,2023-03-03,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.028547
,2023-03-04,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.470355
,2023-03-05,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,3.720308
,2023-03-06,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.166754
,2023-03-07,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.697753
,2023-03-08,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.136195
,2023-03-09,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.624849
,2023-03-10,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.408991
,2023-03-11,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.212686
,2023-03-12,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,3.641757
,2023-03-13,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.453309
,2023-03-14,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.241372
,2023-03-15,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,6.993282
,2023-03-16,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.478795
,2023-03-17,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.851729
,2023-03-18,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.190952
,2023-03-19,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,4.103329
,2023-03-20,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.144617
,2023-03-21,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.619741
,2023-03-22,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.421206
,2023-03-23,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.297471999999999
,2023-03-24,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.460279
,2023-03-25,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.408188
,2023-03-26,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,3.699819
,2023-03-27,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.291255
,2023-03-28,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.685709
,2023-03-29,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,9.11893
,2023-03-30,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.841854
,2023-03-31,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.712674
,2023-04-01,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.094915
,2023-04-02,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,3.81987
,2023-04-03,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.514532
,2023-04-04,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.812896
,2023-04-05,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.542288000000001
,2023-04-06,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.783363
,2023-04-07,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,3.52457
,2023-04-08,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.389505
,2023-04-09,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,3.0707750000000003
,2023-04-10,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,6.859465
,2023-04-11,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.843933999999999
,2023-04-12,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.62659
,2023-04-13,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.885544
,2023-04-14,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,9.034518
,2023-04-15,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.581504
,2023-04-16,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,3.554039
,2023-04-17,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.377018
,2023-04-18,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.973278
,2023-04-19,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.664839
,2023-04-20,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.205542000000001
,2023-04-21,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,5.143843
,2023-04-22,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.40929
,2023-04-23,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,4.218564
,2023-04-24,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.778017
,2023-04-25,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.830977
,2023-04-26,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.665348
,2023-04-27,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.809099
,2023-04-28,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.540725
,2023-04-29,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.611361
,2023-04-30,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,3.931773
,2023-05-01,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,3.039431
,2023-05-02,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.524083
,2023-05-03,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.847175
,2023-05-04,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.828642
,2023-05-05,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.831657
,2023-05-06,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.803694
,2023-05-07,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,4.168986
,2023-05-08,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.622413
,2023-05-09,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,9.191721
,2023-05-10,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.986135
,2023-05-11,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.845512
,2023-05-12,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.478816
,2023-05-13,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.202649
,2023-05-14,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,4.54273
,2023-05-15,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.377587
,2023-05-16,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.504536
,2023-05-17,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.835923
,2023-05-18,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.617543
,2023-05-19,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.578599
,2023-05-20,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.75132
,2023-05-21,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,3.483388
,2023-05-22,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,2.94216
,2023-05-23,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,7.993009000000001
,2023-05-24,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,8.773581
,2023-05-25,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,9.042235
,2023-05-26,43927.0,MARANHAO COUROS CL,Consumidor Livre,NORTE,17.88,6.592003
