MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,0.991262
,2022-01-02,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,1.009534
,2022-01-03,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,9.492523
,2022-01-04,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,13.071089
,2022-01-05,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,12.535403
,2022-01-06,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,13.947892
,2022-01-07,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,12.910369
,2022-01-08,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,7.743867
,2022-01-09,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,6.720584
,2022-01-10,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,11.58914
,2022-01-11,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,13.394477
,2022-01-12,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,13.046479
,2022-01-13,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,13.284736
,2022-01-14,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,12.171307
,2022-01-15,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,6.401019
,2022-01-16,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,1.834143
,2022-01-17,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,7.301891
,2022-01-18,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,10.89685
,2022-01-19,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,12.570378
,2022-01-20,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,12.291669
,2022-01-21,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,9.569721
,2022-01-22,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,2.557596
,2022-01-23,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,1.354794
,2022-01-24,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,8.434257
,2022-01-25,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,11.260875
,2022-01-26,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,13.283036
,2022-01-27,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,14.17011
,2022-01-28,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,12.686506
,2022-01-29,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,4.634668
,2022-01-30,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,1.44435
,2022-01-31,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,8.603383000000001
,2022-02-01,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,10.071283
,2022-02-02,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,10.230086
,2022-02-03,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,11.938802
,2022-02-04,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,10.765508
,2022-02-05,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,6.223891
,2022-02-06,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,6.0048580000000005
,2022-02-07,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,12.449885
,2022-02-08,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,12.949479
,2022-02-09,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,12.65677
,2022-02-10,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,13.03778
,2022-02-11,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,11.784186
,2022-02-12,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,4.735787
,2022-02-13,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,3.110493
,2022-02-14,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,9.910345
,2022-02-15,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,13.898438
,2022-02-16,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,14.847392
,2022-02-17,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,13.693035
,2022-02-18,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,12.241375
,2022-02-19,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,3.466422
,2022-02-20,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,1.587436
,2022-02-21,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,9.846242
,2022-02-22,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,13.069756
,2022-02-23,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,14.859498
,2022-02-24,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,12.152233
,2022-02-25,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,11.5024
,2022-02-26,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,3.28468
,2022-02-27,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,1.901398
,2022-02-28,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,10.08929
,2022-03-01,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,11.774254
,2022-03-02,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,12.679442
,2022-03-03,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,14.722385
,2022-03-04,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,14.161604
,2022-03-05,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,6.6476630000000005
,2022-03-06,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,3.800288
,2022-03-07,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,12.385395
,2022-03-08,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,15.734714
,2022-03-09,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,16.577384
,2022-03-10,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,16.092953
,2022-03-11,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,14.341588
,2022-03-12,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,7.428303
,2022-03-13,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,6.4571950000000005
,2022-03-14,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,12.881315
,2022-03-15,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,14.417631
,2022-03-16,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,14.4326
,2022-03-17,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,14.58995
,2022-03-18,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,13.347361
,2022-03-19,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,7.386236
,2022-03-20,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,4.930893
,2022-03-21,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,10.754418
,2022-03-22,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,13.260089
,2022-03-23,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,11.696446
,2022-03-24,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,11.242013
,2022-03-25,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,10.594754
,2022-03-26,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,3.20289
,2022-03-27,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,1.764911
,2022-03-28,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,9.538774
,2022-03-29,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,11.216222
,2022-03-30,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,11.495779
,2022-03-31,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,11.889766
,2022-04-01,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,10.189941
,2022-04-02,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,3.005057
,2022-04-03,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,2.152531
,2022-04-04,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,8.928665
,2022-04-05,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,10.093168
,2022-04-06,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,10.612703
,2022-04-07,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,11.082657
,2022-04-08,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,10.292263
,2022-04-09,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,3.3334
,2022-04-10,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,1.36934
,2022-04-11,31599.0,MAZDA CL,Consumidor Livre,SUDESTE,24.0,9.392297
