MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202403.0,2024-03-01,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,3.504974
202403.0,2024-03-02,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,0.840913
202403.0,2024-03-03,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,0.8542150000000001
202403.0,2024-03-04,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,3.970103
202403.0,2024-03-05,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,3.062643
202403.0,2024-03-06,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,2.835413
202403.0,2024-03-07,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,2.99975
202403.0,2024-03-08,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,2.468099
202403.0,2024-03-09,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,0.86582
202403.0,2024-03-10,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,0.845191
202403.0,2024-03-11,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,3.082222
202403.0,2024-03-12,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,3.736739
202403.0,2024-03-13,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,4.391689
202403.0,2024-03-14,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,3.868626
202403.0,2024-03-15,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,2.961697
202403.0,2024-03-16,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,1.126438
202403.0,2024-03-17,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,0.797877
202403.0,2024-03-18,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,3.668797
202403.0,2024-03-19,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,3.234028
202403.0,2024-03-20,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,3.475845
202403.0,2024-03-21,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,3.401887
202403.0,2024-03-22,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,3.141024
202403.0,2024-03-23,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,0.823697
202403.0,2024-03-24,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,0.821342
202403.0,2024-03-25,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,2.455964
202403.0,2024-03-26,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,2.916418
202403.0,2024-03-27,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,2.750431
202403.0,2024-03-28,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,2.624129
202403.0,2024-03-29,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,0.832482
202403.0,2024-03-30,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,1.542043
202403.0,2024-03-31,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,2.246474
202404.0,2024-04-01,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,3.675303
202404.0,2024-04-02,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,3.59505
202404.0,2024-04-03,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,4.024207
202404.0,2024-04-04,57718.0,NEXUS - CONSELHEIRO LAFAIETE,Consumidor Livre,SUDESTE,12.0,3.864443
