MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,25366.0,PEDREIRA BARRINHA,Consumidor Especial,SUDESTE,12.0,0.208643
,2022-01-02,25366.0,PEDREIRA BARRINHA,Consumidor Especial,SUDESTE,12.0,0.20742
,2022-01-03,25366.0,PEDREIRA BARRINHA,Consumidor Especial,SUDESTE,12.0,1.462173
,2022-01-04,25366.0,PEDREIRA BARRINHA,Consumidor Especial,SUDESTE,12.0,1.010571
,2022-01-05,25366.0,PEDREIRA BARRINHA,Consumidor Especial,SUDESTE,12.0,3.13305
,2022-01-06,25366.0,PEDREIRA BARRINHA,Consumidor Especial,SUDESTE,12.0,1.554951
,2022-01-07,25366.0,PEDREIRA BARRINHA,Consumidor Especial,SUDESTE,12.0,0.5631970000000001
,2022-01-08,25366.0,PEDREIRA BARRINHA,Consumidor Especial,SUDESTE,12.0,0.202161
,2022-01-09,25366.0,PEDREIRA BARRINHA,Consumidor Especial,SUDESTE,12.0,0.172652
,2022-01-10,25366.0,PEDREIRA BARRINHA,Consumidor Especial,SUDESTE,12.0,0.197597
,2022-01-11,25366.0,PEDREIRA BARRINHA,Consumidor Especial,SUDESTE,12.0,0.21299
,2022-01-12,25366.0,PEDREIRA BARRINHA,Consumidor Especial,SUDESTE,12.0,0.322191
,2022-01-13,25366.0,PEDREIRA BARRINHA,Consumidor Especial,SUDESTE,12.0,2.638137
,2022-01-14,25366.0,PEDREIRA BARRINHA,Consumidor Especial,SUDESTE,12.0,1.795568
,2022-01-15,25366.0,PEDREIRA BARRINHA,Consumidor Especial,SUDESTE,12.0,0.192252
,2022-01-16,25366.0,PEDREIRA BARRINHA,Consumidor Especial,SUDESTE,12.0,0.184407
,2022-01-17,25366.0,PEDREIRA BARRINHA,Consumidor Especial,SUDESTE,12.0,2.484975
