MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-10-01,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,1.239347
,2022-10-02,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,0.217292
,2022-10-03,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,4.014608
,2022-10-04,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.83536
,2022-10-05,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.888006
,2022-10-06,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.47993
,2022-10-07,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.338283
,2022-10-08,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,0.50923
,2022-10-09,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,0.19972
,2022-10-10,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.940756
,2022-10-11,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.850515
,2022-10-12,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,0.507725
,2022-10-13,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.175609
,2022-10-14,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.759225
,2022-10-15,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,0.87875
,2022-10-16,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,0.243377
,2022-10-17,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.330717
,2022-10-18,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.126544
,2022-10-19,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.756701
,2022-10-20,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.854885
,2022-10-21,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.801924
,2022-10-22,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,1.294136
,2022-10-23,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,0.217208
,2022-10-24,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.61275
,2022-10-25,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.740212
,2022-10-26,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.178175
,2022-10-27,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.884983
,2022-10-28,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,4.001548
,2022-10-29,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,1.339055
,2022-10-30,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,0.211439
,2022-10-31,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.877268
,2022-11-01,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.747
,2022-11-02,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,0.503385
,2022-11-03,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.113105
,2022-11-04,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.770798
,2022-11-05,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,1.463204
,2022-11-06,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,0.222823
,2022-11-07,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,4.146485
,2022-11-08,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.750459
,2022-11-09,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.952655
,2022-11-10,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.888991
,2022-11-11,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.017823
,2022-11-12,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,0.862191
,2022-11-13,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,0.1738259999999999
,2022-11-14,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.229595
,2022-11-15,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.911845
,2022-11-16,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,4.020767
,2022-11-17,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.938867
,2022-11-18,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,1.271984
,2022-11-19,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,0.065518
,2022-11-20,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,0.207113
,2022-11-21,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.762755
,2022-11-22,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.931456
,2022-11-23,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.96773
,2022-11-24,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.904424
,2022-11-25,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.495253
,2022-11-26,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,1.336753
,2022-11-27,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,0.215374
,2022-11-28,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.475658
,2022-11-29,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.469435
,2022-11-30,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.347105
,2022-12-01,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,3.666054
,2022-12-02,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,4.070067
,2022-12-03,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,1.772933
,2022-12-04,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,0.137214
,2022-12-05,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,4.200717
,2022-12-06,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,4.440898
,2022-12-07,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,4.750839
,2022-12-08,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,4.638081
,2022-12-09,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,4.332949
,2022-12-10,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,1.797853
,2022-12-11,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,0.133377
,2022-12-12,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,4.433911
,2022-12-13,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,4.49195
,2022-12-14,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,4.240122
,2022-12-15,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,4.735965
,2022-12-16,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,4.841295
,2022-12-17,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,1.866838
,2022-12-18,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,0.166719
,2022-12-19,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,4.681471
,2022-12-20,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,4.693333
,2022-12-21,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,1.190077
,2022-12-22,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,0.073174
,2022-12-23,35932.0,PLASTGIL ESPECIAL,Consumidor Especial,SUL,12.0,0.060012
