MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.132584
,2023-01-02,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.140079
,2023-01-03,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.136477
,2023-01-04,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.131507
,2023-01-05,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.136809
,2023-01-06,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.151481
,2023-01-07,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.132466
,2023-01-08,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.13355
,2023-01-09,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.149455
,2023-01-10,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.182033
,2023-01-11,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.136576
,2023-01-12,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.136024
,2023-01-13,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.153363
,2023-01-14,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.181433
,2023-01-15,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.178786
,2023-01-16,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.160784
,2023-01-17,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.183201
,2023-01-18,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.334233
,2023-01-19,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.285112
,2023-01-20,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.176078
,2023-01-21,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.186949
,2023-01-22,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.170255
,2023-01-23,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.255735
,2023-01-24,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.173905
,2023-01-25,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.162408
,2023-01-26,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.281035
,2023-01-27,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.2081879999999999
,2023-01-28,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.217141
,2023-01-29,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.157349
,2023-01-30,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.231218
,2023-01-31,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.277912
,2023-02-01,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.287648
,2023-02-02,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.276209
,2023-02-03,43972.0,PLASTICOS CARAJAS CL,Consumidor Livre,SUL,12.0,0.336127
