MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,68.901324
,2022-01-02,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,94.005109
,2022-01-03,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,98.605374
,2022-01-04,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,99.645159
,2022-01-05,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,91.093131
,2022-01-06,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,93.240587
,2022-01-07,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,90.951646
,2022-01-08,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,91.203252
,2022-01-09,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,90.482165
,2022-01-10,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,92.381884
,2022-01-11,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,93.045413
,2022-01-12,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,93.358174
,2022-01-13,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,93.040959
,2022-01-14,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,93.881723
,2022-01-15,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,93.166568
,2022-01-16,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,90.083197
,2022-01-17,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,67.917412
,2022-01-18,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,63.500108
,2022-01-19,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,62.750026
,2022-01-20,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,77.563282
,2022-01-21,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,91.459013
,2022-01-22,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,89.30881600000001
,2022-01-23,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,75.082519
,2022-01-24,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,68.695098
,2022-01-25,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,68.064258
,2022-01-26,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,62.153572
,2022-01-27,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,60.163186
,2022-01-28,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,67.312685
,2022-01-29,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,68.201853
,2022-01-30,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,68.591982
,2022-01-31,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,47.669706
,2022-02-01,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,40.226855
,2022-02-02,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,40.342067
,2022-02-03,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,42.356485
,2022-02-04,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,56.073071
,2022-02-05,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,64.447216
,2022-02-06,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,64.578956
,2022-02-07,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,69.143468
,2022-02-08,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,73.980011
,2022-02-09,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,72.758254
,2022-02-10,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,68.66999799999999
,2022-02-11,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,67.679736
,2022-02-12,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,59.612431
,2022-02-13,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,61.108628
,2022-02-14,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,71.898282
,2022-02-15,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,70.18312
,2022-02-16,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,69.186705
,2022-02-17,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,64.761604
,2022-02-18,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,81.835647
,2022-02-19,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,80.041049
,2022-02-20,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,66.77538
,2022-02-21,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,73.8725
,2022-02-22,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,88.92837
,2022-02-23,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,84.358998
,2022-02-24,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,87.743851
,2022-02-25,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,75.75611
,2022-02-26,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,60.497766
,2022-02-27,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,54.522017
,2022-02-28,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,61.829448
,2022-03-01,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,59.602303
,2022-03-02,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,58.755759
,2022-03-03,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,59.472786
,2022-03-04,31849.0,POTENCIAL BIODIESEL CL 514,Consumidor Livre,SUL,30.0,62.812407
