MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,82924.0,REFREX,Consumidor Especial,SUL,12.0,0.694329
,2022-01-02,82924.0,REFREX,Consumidor Especial,SUL,12.0,0.695608
,2022-01-03,82924.0,REFREX,Consumidor Especial,SUL,12.0,4.912181
,2022-01-04,82924.0,REFREX,Consumidor Especial,SUL,12.0,5.292665
,2022-01-05,82924.0,REFREX,Consumidor Especial,SUL,12.0,4.47718
,2022-01-06,82924.0,REFREX,Consumidor Especial,SUL,12.0,4.099982
,2022-01-07,82924.0,REFREX,Consumidor Especial,SUL,12.0,3.430047
,2022-01-08,82924.0,REFREX,Consumidor Especial,SUL,12.0,1.7891
,2022-01-09,82924.0,REFREX,Consumidor Especial,SUL,12.0,0.721292
,2022-01-10,82924.0,REFREX,Consumidor Especial,SUL,12.0,4.014857
,2022-01-11,82924.0,REFREX,Consumidor Especial,SUL,12.0,5.443521
,2022-01-12,82924.0,REFREX,Consumidor Especial,SUL,12.0,4.926142
,2022-01-13,82924.0,REFREX,Consumidor Especial,SUL,12.0,5.588443
,2022-01-14,82924.0,REFREX,Consumidor Especial,SUL,12.0,4.994166
,2022-01-15,82924.0,REFREX,Consumidor Especial,SUL,12.0,1.878356
,2022-01-16,82924.0,REFREX,Consumidor Especial,SUL,12.0,0.898945
,2022-01-17,82924.0,REFREX,Consumidor Especial,SUL,12.0,5.045015
,2022-01-18,82924.0,REFREX,Consumidor Especial,SUL,12.0,3.901468
,2022-01-19,82924.0,REFREX,Consumidor Especial,SUL,12.0,4.542081
,2022-01-20,82924.0,REFREX,Consumidor Especial,SUL,12.0,5.512312
,2022-01-21,82924.0,REFREX,Consumidor Especial,SUL,12.0,3.799575
,2022-01-22,82924.0,REFREX,Consumidor Especial,SUL,12.0,2.413265
,2022-01-23,82924.0,REFREX,Consumidor Especial,SUL,12.0,0.8719830000000001
,2022-01-24,82924.0,REFREX,Consumidor Especial,SUL,12.0,4.94029
,2022-01-25,82924.0,REFREX,Consumidor Especial,SUL,12.0,5.789087
,2022-01-26,82924.0,REFREX,Consumidor Especial,SUL,12.0,5.132007
,2022-01-27,82924.0,REFREX,Consumidor Especial,SUL,12.0,3.901848
