MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-07-01,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,16.316018
,2022-07-02,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,20.345755
,2022-07-03,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,15.480913
,2022-07-04,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,16.951485
,2022-07-05,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,14.961406
,2022-07-06,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,16.644519
,2022-07-07,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,17.732868
,2022-07-08,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,14.54181
,2022-07-09,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,16.771788
,2022-07-10,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,16.880804
,2022-07-11,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,14.903414
,2022-07-12,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,16.854878
,2022-07-13,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,20.092801
,2022-07-14,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,17.242927
,2022-07-15,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,13.904729
,2022-07-16,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,17.441557
,2022-07-17,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,18.784874
,2022-07-18,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,18.206586
,2022-07-19,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,16.821968
,2022-07-20,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,18.521304
,2022-07-21,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,11.283545
,2022-07-22,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,18.146257
,2022-07-23,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,17.473748
,2022-07-24,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,17.699173000000002
,2022-07-25,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,18.349625
,2022-07-26,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,19.374498
,2022-07-27,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,18.954208
,2022-07-28,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,16.605863
,2022-07-29,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,17.740103
,2022-07-30,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,16.794150000000002
,2022-07-31,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,17.074852
,2022-08-01,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,19.384701
,2022-08-02,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,17.856
,2022-08-03,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,12.672058
,2022-08-04,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,14.871609
,2022-08-05,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,15.959711
,2022-08-06,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,17.029576
,2022-08-07,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,18.341394
,2022-08-08,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,16.317674
,2022-08-09,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,16.517723
,2022-08-10,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,4.683907
,2022-08-11,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,15.888505
,2022-08-12,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,16.433545000000002
,2022-08-13,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,17.598507
,2022-08-14,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,17.864454
,2022-08-15,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,15.365563
,2022-08-16,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,15.446535
,2022-08-17,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,17.357257
,2022-08-18,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,17.339261
,2022-08-19,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,18.27339
,2022-08-20,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,16.588816
,2022-08-21,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,16.727928
,2022-08-22,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,17.243508
,2022-08-23,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,18.305801
,2022-08-24,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,17.392842
,2022-08-25,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,16.282057000000002
,2022-08-26,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,17.351336
,2022-08-27,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,19.066202
,2022-08-28,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,17.841447
,2022-08-29,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,20.081501
,2022-08-30,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,20.230459
,2022-08-31,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,19.750254
,2022-09-01,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,19.465509
,2022-09-02,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,20.612978
,2022-09-03,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,18.671156
,2022-09-04,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,15.854466
,2022-09-05,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,19.352273
,2022-09-06,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,17.615579
,2022-09-07,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,18.334889
,2022-09-08,40175.0,RIVELLI CL 2,Consumidor Livre,SUDESTE,26.880000000000003,18.970875
