MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,0.095601
,2023-01-02,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,0.096621
,2023-01-03,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,0.11108
,2023-01-04,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,0.165065
,2023-01-05,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,0.183251
,2023-01-06,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,0.079149
,2023-01-07,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,0.072062
,2023-01-08,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,0.072491
,2023-01-09,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,0.072824
,2023-01-10,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,0.16738
,2023-01-11,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,0.23317
,2023-01-12,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,0.178297
,2023-01-13,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,0.170886
,2023-01-14,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,0.170372
,2023-01-15,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,0.092905
,2023-01-16,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,0.679895
,2023-01-17,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,0.923175
,2023-01-18,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,0.875776
,2023-01-19,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,1.247507
,2023-01-20,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,1.441227
,2023-01-21,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,2.068178
,2023-01-22,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,2.209757
,2023-01-23,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,3.769331
,2023-01-24,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,3.287633
,2023-01-25,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,3.464418
,2023-01-26,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,3.478606
,2023-01-27,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,2.836612
,2023-01-28,48535.0,SERRARIA KATZER CL 514,Consumidor Livre,SUL,12.0,2.016462
