MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2024-01-01,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,0.074404
,2024-01-02,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,0.074401
,2024-01-03,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,0.073912
,2024-01-04,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,0.076888
,2024-01-05,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,0.116507
,2024-01-06,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,0.140771
,2024-01-07,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,0.138874
,2024-01-08,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,1.088081
,2024-01-09,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,2.981264
,2024-01-10,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,7.132585
,2024-01-11,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,6.556667
,2024-01-12,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,6.938893
,2024-01-13,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,5.632047
,2024-01-14,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,5.236895
,2024-01-15,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,6.361294
,2024-01-16,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,6.280265
,2024-01-17,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,5.603788
,2024-01-18,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,4.426567
,2024-01-19,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,7.288909
,2024-01-20,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,5.240234
,2024-01-21,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,3.293162
,2024-01-22,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,2.948521
,2024-01-23,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,6.173956
,2024-01-24,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,7.159058
,2024-01-25,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,6.559037
,2024-01-26,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,6.866785
,2024-01-27,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,5.142479
,2024-01-28,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,5.5941410000000005
,2024-01-29,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,7.403466
,2024-01-30,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,8.393856
,2024-01-31,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,9.058215
,2024-02-01,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,7.463247
,2024-02-02,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,9.343721
,2024-02-03,49125.0,SURFACE CL SE,Consumidor Livre,SUDESTE,15.6,6.519293
