MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202501.0,2025-01-01,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,0.783717
202501.0,2025-01-02,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,0.93382
202501.0,2025-01-03,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,0.948411
202501.0,2025-01-04,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,0.853247
202501.0,2025-01-05,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,0.901203
202501.0,2025-01-06,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,1.179838
202501.0,2025-01-07,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,1.26909
202501.0,2025-01-08,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,1.168344
202501.0,2025-01-09,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,1.506327
202501.0,2025-01-10,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,1.334583
202501.0,2025-01-11,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,1.53578
202501.0,2025-01-12,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,1.174612
202501.0,2025-01-13,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,1.119388
202501.0,2025-01-14,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,1.527443
202501.0,2025-01-15,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,1.824047
202501.0,2025-01-16,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,2.258432
202501.0,2025-01-17,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,2.395461
202501.0,2025-01-18,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,1.833745
202501.0,2025-01-19,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,1.358411
202501.0,2025-01-20,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,1.62692
202501.0,2025-01-21,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,2.016203
202501.0,2025-01-22,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,2.176851
202501.0,2025-01-23,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,2.015907
202501.0,2025-01-24,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,2.493703
202501.0,2025-01-25,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,2.556139
202501.0,2025-01-26,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,1.305322
202501.0,2025-01-27,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,1.774564
202501.0,2025-01-28,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,1.621302
202501.0,2025-01-29,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,2.517956
202501.0,2025-01-30,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,2.071336
202501.0,2025-01-31,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,2.084356
202502.0,2025-02-01,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,2.276104
202502.0,2025-02-02,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,1.72142
202502.0,2025-02-03,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,2.238513
202502.0,2025-02-04,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,2.665792
202502.0,2025-02-05,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,3.104564
202502.0,2025-02-06,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,2.935351
202502.0,2025-02-07,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,2.708337
202502.0,2025-02-08,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,2.290519
202502.0,2025-02-09,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,2.341658
202502.0,2025-02-10,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,2.491714
202502.0,2025-02-11,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,2.789794
202502.0,2025-02-12,143151.0,TABAJARA CLUBE,Consumidor Livre,SUL,12.0,2.981104
