MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,31.592599
,2022-01-02,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,32.264556
,2022-01-03,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,33.161725
,2022-01-04,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,32.774651
,2022-01-05,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,33.082539
,2022-01-06,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,31.177341
,2022-01-07,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,30.419401
,2022-01-08,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,30.073878
,2022-01-09,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,29.779825
,2022-01-10,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,29.945355
,2022-01-11,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,30.816091
,2022-01-12,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,31.058721
,2022-01-13,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,30.492739
,2022-01-14,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,30.885679
,2022-01-15,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,29.931684
,2022-01-16,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,30.23869
,2022-01-17,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,32.584347
,2022-01-18,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,32.775829
,2022-01-19,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,33.300942
,2022-01-20,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,34.376119
,2022-01-21,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,34.661154
,2022-01-22,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,34.321485
,2022-01-23,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,34.360747
,2022-01-24,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,33.725742
,2022-01-25,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,33.34402
,2022-01-26,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,32.727915
,2022-01-27,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,33.254283
,2022-01-28,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,31.004401
,2022-01-29,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,30.573208
,2022-01-30,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,31.67591
,2022-01-31,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,32.865488
,2022-02-01,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,33.382722
,2022-02-02,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,32.999329
,2022-02-03,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,32.51183
,2022-02-04,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,32.733751
,2022-02-05,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,33.232347
,2022-02-06,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,32.695824
,2022-02-07,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,32.412686
,2022-02-08,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,31.410326
,2022-02-09,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,31.853318
,2022-02-10,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,31.929297
,2022-02-11,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,32.267276
,2022-02-12,25301.0,TELEFONICA S CL,Consumidor Livre,SUL,41.64,31.909889
