MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,3.162882
,2022-01-02,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,3.175679
,2022-01-03,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,23.121496
,2022-01-04,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,29.60032
,2022-01-05,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,28.854021
,2022-01-06,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,28.908532
,2022-01-07,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,28.689009
,2022-01-08,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,27.71831
,2022-01-09,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,7.300076000000001
,2022-01-10,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,29.820608
,2022-01-11,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,30.210986
,2022-01-12,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,29.179453
,2022-01-13,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,30.615999
,2022-01-14,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,30.534483
,2022-01-15,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,28.556664
,2022-01-16,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,7.062352
,2022-01-17,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,29.606477
,2022-01-18,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,28.174219
,2022-01-19,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,29.73764
,2022-01-20,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,29.066926
,2022-01-21,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,29.230323
,2022-01-22,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,28.108103
,2022-01-23,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,6.457934
,2022-01-24,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,29.842583
,2022-01-25,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,29.971666
,2022-01-26,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,28.70041
,2022-01-27,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,30.546194
,2022-01-28,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,30.399054
,2022-01-29,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,30.26336
,2022-01-30,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,26.735974
,2022-01-31,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,30.21893
,2022-02-01,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,29.226641
,2022-02-02,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,30.593065
,2022-02-03,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,30.447685
,2022-02-04,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,28.381797
,2022-02-05,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,28.447926
,2022-02-06,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,5.916991
,2022-02-07,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,29.558723
,2022-02-08,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,28.670329
,2022-02-09,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,29.210062
,2022-02-10,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,28.884131
,2022-02-11,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,27.973265
,2022-02-12,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,28.296895
,2022-02-13,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,6.630675
,2022-02-14,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,29.619502
,2022-02-15,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,28.590898
,2022-02-16,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,28.788655
,2022-02-17,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,29.367756
,2022-02-18,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,27.397684
,2022-02-19,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,27.102026
,2022-02-20,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,6.502891
,2022-02-21,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,26.896357
,2022-02-22,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,28.945986
,2022-02-23,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,28.781199
,2022-02-24,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,29.560215
,2022-02-25,99505.0,TROMBEMB CL 514,Consumidor Livre,SUL,38.400000000000006,30.577367
