MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,2.024016
,2023-01-02,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,4.977819
,2023-01-03,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,4.969903
,2023-01-04,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,5.159279
,2023-01-05,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,5.103281
,2023-01-06,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,4.819555
,2023-01-07,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,3.413681
,2023-01-08,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,2.606755
,2023-01-09,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,5.383181
,2023-01-10,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,5.496423
,2023-01-11,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,5.276454
,2023-01-12,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,5.49303
,2023-01-13,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,5.517532
,2023-01-14,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,3.574197
,2023-01-15,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,2.526208
,2023-01-16,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,6.570946
,2023-01-17,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,6.870409
,2023-01-18,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,6.746348
,2023-01-19,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,6.400296
,2023-01-20,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,5.93693
,2023-01-21,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,3.659137
,2023-01-22,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,2.602107
,2023-01-23,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,6.523805
,2023-01-24,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,6.509558
,2023-01-25,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,6.638346
,2023-01-26,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,6.760442
,2023-01-27,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,6.56182
,2023-01-28,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,3.785357
,2023-01-29,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,2.731934
,2023-01-30,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,6.821605
,2023-01-31,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,7.234379
,2023-02-01,50950.0,UMC SEDE - AT,Consumidor Especial,SUDESTE,24.36,7.013986
