MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-12-01,105308.0,VENEZA NUTRICAO ANIMAL,Consumidor Livre,SUDESTE,12.0,3.987164
,2023-12-02,105308.0,VENEZA NUTRICAO ANIMAL,Consumidor Livre,SUDESTE,12.0,5.784071
,2023-12-03,105308.0,VENEZA NUTRICAO ANIMAL,Consumidor Livre,SUDESTE,12.0,1.257417
,2023-12-04,105308.0,VENEZA NUTRICAO ANIMAL,Consumidor Livre,SUDESTE,12.0,0.96495
,2023-12-05,105308.0,VENEZA NUTRICAO ANIMAL,Consumidor Livre,SUDESTE,12.0,4.876145
,2023-12-06,105308.0,VENEZA NUTRICAO ANIMAL,Consumidor Livre,SUDESTE,12.0,3.656197
,2023-12-07,105308.0,VENEZA NUTRICAO ANIMAL,Consumidor Livre,SUDESTE,12.0,3.210214
,2023-12-08,105308.0,VENEZA NUTRICAO ANIMAL,Consumidor Livre,SUDESTE,12.0,2.738463
,2023-12-09,105308.0,VENEZA NUTRICAO ANIMAL,Consumidor Livre,SUDESTE,12.0,4.913067
,2023-12-10,105308.0,VENEZA NUTRICAO ANIMAL,Consumidor Livre,SUDESTE,12.0,3.259197
,2023-12-11,105308.0,VENEZA NUTRICAO ANIMAL,Consumidor Livre,SUDESTE,12.0,0.899958
,2023-12-12,105308.0,VENEZA NUTRICAO ANIMAL,Consumidor Livre,SUDESTE,12.0,3.338927
,2023-12-13,105308.0,VENEZA NUTRICAO ANIMAL,Consumidor Livre,SUDESTE,12.0,4.50022
,2023-12-14,105308.0,VENEZA NUTRICAO ANIMAL,Consumidor Livre,SUDESTE,12.0,3.549369
,2023-12-15,105308.0,VENEZA NUTRICAO ANIMAL,Consumidor Livre,SUDESTE,12.0,3.271483
,2023-12-16,105308.0,VENEZA NUTRICAO ANIMAL,Consumidor Livre,SUDESTE,12.0,3.428686
,2023-12-17,105308.0,VENEZA NUTRICAO ANIMAL,Consumidor Livre,SUDESTE,12.0,0.576558
,2023-12-18,105308.0,VENEZA NUTRICAO ANIMAL,Consumidor Livre,SUDESTE,12.0,0.664863
,2023-12-19,105308.0,VENEZA NUTRICAO ANIMAL,Consumidor Livre,SUDESTE,12.0,2.348295
,2023-12-20,105308.0,VENEZA NUTRICAO ANIMAL,Consumidor Livre,SUDESTE,12.0,2.700435
