MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,0.54208
,2023-01-02,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,0.542795
,2023-01-03,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,4.919858
,2023-01-04,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,6.14326
,2023-01-05,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,5.734255
,2023-01-06,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,5.816382
,2023-01-07,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,2.448589
,2023-01-08,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,1.106563
,2023-01-09,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,5.03154
,2023-01-10,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,6.194598
,2023-01-11,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,6.233955
,2023-01-12,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,6.384339
,2023-01-13,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,6.350694
,2023-01-14,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,2.473608
,2023-01-15,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,1.03728
,2023-01-16,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,5.6072
,2023-01-17,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,5.879468
,2023-01-18,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,6.061701
,2023-01-19,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,5.626774
,2023-01-20,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,5.5610610000000005
,2023-01-21,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,1.866245
,2023-01-22,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,1.045995
,2023-01-23,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,4.596365
,2023-01-24,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,4.857470999999999
,2023-01-25,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,6.187424
,2023-01-26,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,6.925665
,2023-01-27,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,6.232943
,2023-01-28,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,2.608686
,2023-01-29,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,1.753985
,2023-01-30,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,5.055956
,2023-01-31,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,6.3786000000000005
,2023-02-01,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,5.998563
,2023-02-02,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,5.772044
,2023-02-03,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,5.522298
,2023-02-04,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,1.951773
,2023-02-05,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,0.991324
,2023-02-06,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,4.051167
,2023-02-07,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,5.84056
,2023-02-08,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,5.941809
,2023-02-09,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,6.388197
,2023-02-10,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,5.990056
,2023-02-11,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,2.524899
,2023-02-12,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,1.898612
,2023-02-13,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,5.828889
,2023-02-14,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,6.258896
,2023-02-15,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,6.883001
,2023-02-16,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,6.671702
,2023-02-17,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,6.47257
,2023-02-18,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,1.909427
,2023-02-19,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,0.880555
,2023-02-20,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,5.5169120000000005
,2023-02-21,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,7.149275
,2023-02-22,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,6.443339
,2023-02-23,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,6.879174
,2023-02-24,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,6.890583
,2023-02-25,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,2.409778
,2023-02-26,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,1.019949
,2023-02-27,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,5.463883
,2023-02-28,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,6.502453
,2023-03-01,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,6.149715
,2023-03-02,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,6.407487
,2023-03-03,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,6.389531
,2023-03-04,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,2.085659
,2023-03-05,47596.0,WIPRO DO BRASIL CL 514,Consumidor Livre,SUDESTE,12.0,0.874096
