MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-02-01,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,2.6822850000000003
,2023-02-02,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,2.502061
,2023-02-03,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,2.362404
,2023-02-04,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,0.15416
,2023-02-05,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,0.150243
,2023-02-06,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,2.781872
,2023-02-07,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,2.91414
,2023-02-08,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,2.545497
,2023-02-09,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,2.681941
,2023-02-10,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,2.631276
,2023-02-11,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,0.185385
,2023-02-12,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,0.157465
,2023-02-13,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,2.58624
,2023-02-14,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,2.834976
,2023-02-15,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,2.680126
,2023-02-16,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,2.6143
,2023-02-17,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,2.172134
,2023-02-18,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,0.181227
,2023-02-19,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,0.175335
,2023-02-20,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,0.1763259999999999
,2023-02-21,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,0.176059
,2023-02-22,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,2.577593
,2023-02-23,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,2.790507
,2023-02-24,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,2.392575
,2023-02-25,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,0.155139
,2023-02-26,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,0.162898
,2023-02-27,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,0.89155
,2023-02-28,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,2.77818
,2023-03-01,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,2.8519170000000003
,2023-03-02,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,2.576098
,2023-03-03,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,2.229471
,2023-03-04,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,0.170232
,2023-03-05,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,0.151363
,2023-03-06,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,2.534012
,2023-03-07,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,3.130515
,2023-03-08,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,3.028297
,2023-03-09,57458,2WV ECO PAK IND CL 514,Comercializador,SUDESTE,12.0,2.935623
