MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,14.189579
,2022-01-02,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,11.050446
,2022-01-03,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,10.480461
,2022-01-04,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,7.672505
,2022-01-05,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,7.716432
,2022-01-06,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,10.241944
,2022-01-07,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,11.937446
,2022-01-08,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,7.830839
,2022-01-09,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,1.922262
,2022-01-10,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,9.799752
,2022-01-11,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,8.389558000000001
,2022-01-12,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,10.371731
,2022-01-13,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,9.790889
,2022-01-14,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,10.756115
,2022-01-15,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,7.77665
,2022-01-16,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,7.457818
,2022-01-17,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,10.328647
,2022-01-18,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,8.937724
,2022-01-19,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,9.69385
,2022-01-20,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,7.710214
,2022-01-21,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,11.067551
,2022-01-22,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,10.992413
,2022-01-23,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,5.363226
,2022-01-24,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,8.961858
,2022-01-25,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,9.450122
,2022-01-26,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,8.552486
,2022-01-27,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,6.214677
,2022-01-28,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,4.648716
,2022-01-29,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,3.777038
,2022-01-30,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,1.339193
,2022-01-31,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,5.762106
,2022-02-01,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,5.897996
,2022-02-02,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,4.268709
,2022-02-03,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,5.721035
,2022-02-04,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,7.264942
,2022-02-05,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,6.378764
,2022-02-06,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,2.911584
,2022-02-07,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,6.550499
,2022-02-08,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,7.170522
,2022-02-09,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,6.971762
,2022-02-10,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,6.118642
,2022-02-11,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,5.748155
,2022-02-12,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,4.918871
,2022-02-13,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,0.576992
,2022-02-14,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,2.095442
,2022-02-15,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,5.045759
,2022-02-16,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,4.212339
,2022-02-17,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,4.4987070000000005
,2022-02-18,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,4.957143
,2022-02-19,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,6.701916
,2022-02-20,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,1.231569
,2022-02-21,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,6.694619
,2022-02-22,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,4.040957
,2022-02-23,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,5.126673
,2022-02-24,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,5.740103
,2022-02-25,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,5.95791
,2022-02-26,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,4.340081
,2022-02-27,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,2.416635
,2022-02-28,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,6.327817
,2022-03-01,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,2.435554
,2022-03-02,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,6.223141
,2022-03-03,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,6.257857
,2022-03-04,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,6.470977
,2022-03-05,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,6.451957
,2022-03-06,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,1.699109
,2022-03-07,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,3.967706
,2022-03-08,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,4.419164
,2022-03-09,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,4.47212
,2022-03-10,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,4.447193
,2022-03-11,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,4.342313
,2022-03-12,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,3.735403
,2022-03-13,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,3.191583
,2022-03-14,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,0.785992
,2022-03-15,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,2.050279
,2022-03-16,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,3.394228
,2022-03-17,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,4.408639
,2022-03-18,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,4.271469
,2022-03-19,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,3.787738
,2022-03-20,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,0.304977
,2022-03-21,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,4.493631
,2022-03-22,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,4.404068
,2022-03-23,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,4.44721
,2022-03-24,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,4.880411
,2022-03-25,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,4.364805
,2022-03-26,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,3.138641
,2022-03-27,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,3.1376
,2022-03-28,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,3.892179
,2022-03-29,86490,ACOSTUMADO ALIMENTOS LTDA,Consumidor Especial,NORTE,37.92,4.242151
