MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-10-01,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,0.448712
,2022-10-02,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,0.202121
,2022-10-03,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.319647
,2022-10-04,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.546362
,2022-10-05,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.562449
,2022-10-06,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.48029
,2022-10-07,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.428093
,2022-10-08,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,1.324213
,2022-10-09,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,0.365044
,2022-10-10,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.406852
,2022-10-11,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.356747
,2022-10-12,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,0.33482
,2022-10-13,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.522474
,2022-10-14,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.292478
,2022-10-15,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,1.476566
,2022-10-16,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,0.296792
,2022-10-17,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.49493
,2022-10-18,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.24861
,2022-10-19,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.099096
,2022-10-20,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,2.969883
,2022-10-21,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.132539
,2022-10-22,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,1.432048
,2022-10-23,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,0.273268
,2022-10-24,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,2.553201
,2022-10-25,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.099634
,2022-10-26,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.510703
,2022-10-27,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.540923
,2022-10-28,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.238046
,2022-10-29,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,1.854979
,2022-10-30,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,0.450219
,2022-10-31,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.265784
,2022-11-01,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.278792
,2022-11-02,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,0.49455
,2022-11-03,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,2.97493
,2022-11-04,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.142424
,2022-11-05,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,1.321723
,2022-11-06,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,0.394947
,2022-11-07,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.497694
,2022-11-08,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.485791
,2022-11-09,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.200526
,2022-11-10,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.295982
,2022-11-11,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.283295
,2022-11-12,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,1.204902
,2022-11-13,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,0.58499
,2022-11-14,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,1.608115
,2022-11-15,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,2.979115
,2022-11-16,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,2.979126
,2022-11-17,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.106172
,2022-11-18,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.400705
,2022-11-19,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,1.949083
,2022-11-20,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,0.276366
,2022-11-21,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.417012
,2022-11-22,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.478687
,2022-11-23,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,3.570278
,2022-11-24,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,2.127048
,2022-11-25,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,2.90292
,2022-11-26,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,1.593992
,2022-11-27,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,0.398207
,2022-11-28,48881,ADF SABAUDIA EI S,Consumidor Especial,SUL,3.6,2.8457090000000003
