MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,8.837822
,2022-01-02,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,8.784467
,2022-01-03,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,13.750818
,2022-01-04,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,14.207738
,2022-01-05,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,14.84947
,2022-01-06,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,15.344867
,2022-01-07,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,13.563006
,2022-01-08,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,11.557694
,2022-01-09,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,9.2776
,2022-01-10,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,13.389797
,2022-01-11,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,14.092736
,2022-01-12,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,14.363574
,2022-01-13,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,14.926269
,2022-01-14,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,15.026152
,2022-01-15,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,12.838637
,2022-01-16,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,9.879549
,2022-01-17,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,15.332497
,2022-01-18,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,15.746341
,2022-01-19,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,16.654674
,2022-01-20,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,16.343761
,2022-01-21,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,16.656803
,2022-01-22,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,15.102489
,2022-01-23,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,12.042997
,2022-01-24,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,15.336063
,2022-01-25,4358,ALMAVIVA,Consumidor Especial,SUDESTE,26.64,14.534635
