MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,5.588779
,2022-01-02,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,8.215089
,2022-01-03,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.169586
,2022-01-04,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.505099
,2022-01-05,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.281449
,2022-01-06,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.212336
,2022-01-07,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.566445
,2022-01-08,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.236623
,2022-01-09,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,7.834786
,2022-01-10,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.021573
,2022-01-11,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.003776
,2022-01-12,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.036371
,2022-01-13,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.390902
,2022-01-14,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.688467
,2022-01-15,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.021877
,2022-01-16,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,8.44706
,2022-01-17,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.608123
,2022-01-18,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.505042
,2022-01-19,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.281967
,2022-01-20,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.684869
,2022-01-21,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.886606
,2022-01-22,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.458661
,2022-01-23,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,8.888042
,2022-01-24,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.504856
,2022-01-25,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.846115
,2022-01-26,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.315794
,2022-01-27,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.493225
,2022-01-28,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.094633
,2022-01-29,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.618973
,2022-01-30,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,8.651356999999999
,2022-01-31,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.651979
,2022-02-01,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.089446
,2022-02-02,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.378024
,2022-02-03,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.289286
,2022-02-04,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.73279
,2022-02-05,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.593013
,2022-02-06,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,8.651114
,2022-02-07,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.522245
,2022-02-08,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.970652
,2022-02-09,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.593042
,2022-02-10,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.256434
,2022-02-11,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.954585
,2022-02-12,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.381965
,2022-02-13,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,8.523268999999999
,2022-02-14,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.434024
,2022-02-15,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.91398
,2022-02-16,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.131487
,2022-02-17,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.154955
,2022-02-18,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.949306
,2022-02-19,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,8.670885
,2022-02-20,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,7.640345
,2022-02-21,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.643852
,2022-02-22,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.119131
,2022-02-23,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.316993
,2022-02-24,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.339932
,2022-02-25,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.890471
,2022-02-26,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.213641
,2022-02-27,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.296061
,2022-02-28,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.097006
,2022-03-01,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.609795
,2022-03-02,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.056485
,2022-03-03,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.533496
,2022-03-04,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.527084
,2022-03-05,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.583072
,2022-03-06,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,8.640011
,2022-03-07,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.089306
,2022-03-08,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.283446
,2022-03-09,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.986208
,2022-03-10,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.936928
,2022-03-11,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.3515
,2022-03-12,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.566257
,2022-03-13,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,8.674929
,2022-03-14,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.38981
,2022-03-15,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.412083
,2022-03-16,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.163626
,2022-03-17,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.387662
,2022-03-18,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.915743
,2022-03-19,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.920477
,2022-03-20,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.096871
,2022-03-21,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.243048
,2022-03-22,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.155716
,2022-03-23,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.1906
,2022-03-24,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.060737
,2022-03-25,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.797837
,2022-03-26,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.753761
,2022-03-27,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,8.573134
,2022-03-28,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.733397
,2022-03-29,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.211859
,2022-03-30,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.971313
,2022-03-31,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.316204
,2022-04-01,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.947338
,2022-04-02,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.949681
,2022-04-03,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.514712
,2022-04-04,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.778212
,2022-04-05,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.582724
,2022-04-06,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.957971
,2022-04-07,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,12.498858
,2022-04-08,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.832803
,2022-04-09,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,12.31563
,2022-04-10,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.843968
,2022-04-11,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,12.358895
,2022-04-12,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.941855
,2022-04-13,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.653501
,2022-04-14,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.885594
,2022-04-15,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.0291
,2022-04-16,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.808778
,2022-04-17,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.260111
,2022-04-18,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.079653
,2022-04-19,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.832114
,2022-04-20,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.005385
,2022-04-21,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.018337
,2022-04-22,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.38473
,2022-04-23,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.280783
,2022-04-24,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.160211
,2022-04-25,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.899398
,2022-04-26,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.941072
,2022-04-27,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.698358
,2022-04-28,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.691634
,2022-04-29,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.973255
,2022-04-30,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.7065
,2022-05-01,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.584153
,2022-05-02,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.338879
,2022-05-03,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,12.015574
,2022-05-04,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.421061
,2022-05-05,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.533264
,2022-05-06,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,12.004953
,2022-05-07,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,12.08629
,2022-05-08,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.118423
,2022-05-09,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.573318
,2022-05-10,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.853843
,2022-05-11,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.72288
,2022-05-12,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.6188
,2022-05-13,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.481687
,2022-05-14,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,11.229688
,2022-05-15,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.321237
,2022-05-16,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,10.63491
,2022-05-17,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,8.625196
,2022-05-18,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,7.656218
,2022-05-19,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,7.558698
,2022-05-20,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,7.442321
,2022-05-21,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,7.646475
,2022-05-22,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,6.5899090000000005
,2022-05-23,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,8.215095
,2022-05-24,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,8.598539
,2022-05-25,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,8.743591
,2022-05-26,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.082571
,2022-05-27,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.304674
,2022-05-28,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.639136
,2022-05-29,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,8.09879
,2022-05-30,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.513217
,2022-05-31,35233,APARECIDA SHOPPING CL 514 2022,Consumidor Livre,SUDESTE,24.0,9.679743
