MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,0.322354
,2022-01-02,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,0.313523
,2022-01-03,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,7.086988
,2022-01-04,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,15.249939
,2022-01-05,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,18.448447
,2022-01-06,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,18.357133
,2022-01-07,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,18.209886
,2022-01-08,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,18.519263
,2022-01-09,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,1.511307
,2022-01-10,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,21.292425
,2022-01-11,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,20.632801
,2022-01-12,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,20.694859
,2022-01-13,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,20.768079
,2022-01-14,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,19.38667
,2022-01-15,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,16.912549
,2022-01-16,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,1.485604
,2022-01-17,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,19.830795
,2022-01-18,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,20.694334
,2022-01-19,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,21.066141
,2022-01-20,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,21.573537
,2022-01-21,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,20.283365
,2022-01-22,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,18.558858
,2022-01-23,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,1.632072
,2022-01-24,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,20.530165
,2022-01-25,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,20.67975
,2022-01-26,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,21.170932
,2022-01-27,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,21.242675
,2022-01-28,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,21.205373
,2022-01-29,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,19.13956
,2022-01-30,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,1.787865
,2022-01-31,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,20.332731
,2022-02-01,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,18.974229
,2022-02-02,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,17.884906
,2022-02-03,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,18.737305
,2022-02-04,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,20.371579
,2022-02-05,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,19.493826
,2022-02-06,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,1.618691
,2022-02-07,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,20.567317
,2022-02-08,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,20.529212
,2022-02-09,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,21.551132
,2022-02-10,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,22.615252
,2022-02-11,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,23.137566
,2022-02-12,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,19.103606
,2022-02-13,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,1.087597
,2022-02-14,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,17.096923
,2022-02-15,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,18.356153
,2022-02-16,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,18.882009
,2022-02-17,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,19.648038
,2022-02-18,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,18.976056
,2022-02-19,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,16.168606
,2022-02-20,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,1.138382
,2022-02-21,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,17.171459
,2022-02-22,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,17.422134
,2022-02-23,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,18.724519
,2022-02-24,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,20.155845
,2022-02-25,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,19.58141
,2022-02-26,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,18.409806
,2022-02-27,36052,BELLOCOPO CL,Consumidor Livre,SUDESTE,27.6,0.373373
