MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,1.948212
,2022-01-02,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,1.643111
,2022-01-03,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,6.6724570000000005
,2022-01-04,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,7.679179
,2022-01-05,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.100659
,2022-01-06,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.159533
,2022-01-07,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,7.737384
,2022-01-08,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,4.316386
,2022-01-09,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,2.156154
,2022-01-10,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.427971
,2022-01-11,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,7.949846
,2022-01-12,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.663369
,2022-01-13,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.666382
,2022-01-14,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.772254
,2022-01-15,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,3.896173
,2022-01-16,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,2.174164
,2022-01-17,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.291339
,2022-01-18,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.578582
,2022-01-19,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,7.887596999999999
,2022-01-20,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.522894
,2022-01-21,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,9.597839
,2022-01-22,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,4.734403
,2022-01-23,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,2.303692
,2022-01-24,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.849047
,2022-01-25,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.3138
,2022-01-26,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.522826
,2022-01-27,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,9.030199
,2022-01-28,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.329540999999999
,2022-01-29,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,4.779545
,2022-01-30,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,2.658959
,2022-01-31,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.420386
,2022-02-01,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.207542
,2022-02-02,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.101974
,2022-02-03,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.107686
,2022-02-04,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,9.254715
,2022-02-05,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,5.253465
,2022-02-06,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,2.644959
,2022-02-07,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,9.222783
,2022-02-08,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,9.640626
,2022-02-09,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,10.409813
,2022-02-10,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,9.290645
,2022-02-11,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.247947
,2022-02-12,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,5.294223
,2022-02-13,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,2.570944
,2022-02-14,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.974396
,2022-02-15,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.684353
,2022-02-16,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.310598
,2022-02-17,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.39505
,2022-02-18,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.830964
,2022-02-19,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,4.4952950000000005
,2022-02-20,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,2.198996
,2022-02-21,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.896697
,2022-02-22,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,7.372246
,2022-02-23,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,6.372243
,2022-02-24,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.455029
,2022-02-25,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,9.013624
,2022-02-26,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,6.400227
,2022-02-27,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,6.701284
,2022-02-28,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.462375
,2022-03-01,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,7.980301
,2022-03-02,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.802326
,2022-03-03,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,9.029327
,2022-03-04,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.84198
,2022-03-05,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,5.612073
,2022-03-06,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,2.983039
,2022-03-07,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,9.869554
,2022-03-08,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.07228
,2022-03-09,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,9.0817
,2022-03-10,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.676113
,2022-03-11,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.718541
,2022-03-12,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,5.339063
,2022-03-13,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,3.002659
,2022-03-14,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,9.131292
,2022-03-15,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,10.418088
,2022-03-16,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,10.329681
,2022-03-17,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,10.596185
,2022-03-18,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,10.98935
,2022-03-19,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,5.294596
,2022-03-20,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,3.048535
,2022-03-21,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,9.512162
,2022-03-22,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.86238
,2022-03-23,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,9.691279
,2022-03-24,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,9.157029
,2022-03-25,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.37076
,2022-03-26,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,4.706086
,2022-03-27,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,2.299854
,2022-03-28,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,9.692574
,2022-03-29,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.740094
,2022-03-30,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,10.638206
,2022-03-31,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,9.954471
,2022-04-01,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,7.629956
,2022-04-02,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,3.975257
,2022-04-03,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,5.452818
,2022-04-04,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,9.071604
,2022-04-05,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,8.876059
,2022-04-06,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,9.808519
,2022-04-07,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,11.046053
,2022-04-08,27526,BRASIMET ARAQUARI,Consumidor Especial,SUL,13.872,10.211036
