MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-04-01,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.313717
,2022-04-02,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.164088
,2022-04-03,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.175572
,2022-04-04,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.455535
,2022-04-05,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.39241
,2022-04-06,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.387322
,2022-04-07,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.450034
,2022-04-08,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.443642
,2022-04-09,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.163147
,2022-04-10,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.175647
,2022-04-11,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.256985
,2022-04-12,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.49565
,2022-04-13,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.4334199999999999
,2022-04-14,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.390273
,2022-04-15,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.171697
,2022-04-16,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.160559
,2022-04-17,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.166144
,2022-04-18,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.364408
,2022-04-19,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.394038
,2022-04-20,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.41551
,2022-04-21,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.15562
,2022-04-22,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.323986
,2022-04-23,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.168469
,2022-04-24,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.18446
,2022-04-25,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.742127
,2022-04-26,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,1.006679
,2022-04-27,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,1.3266170000000002
,2022-04-28,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,1.346384
,2022-04-29,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,1.483244
,2022-04-30,38046,BRF GRAOS PATO BRANCO CE,Consumidor Especial,SUL,5.76,0.321649
