MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,0.244884
,2022-01-02,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,0.798115
,2022-01-03,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,4.346856
,2022-01-04,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,5.297474
,2022-01-05,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,5.629875
,2022-01-06,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,4.596086
,2022-01-07,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,5.955073
,2022-01-08,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,3.813101
,2022-01-09,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,2.488302
,2022-01-10,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,5.437767
,2022-01-11,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,5.558776
,2022-01-12,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,5.709704
,2022-01-13,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,5.856625
,2022-01-14,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,5.455313
,2022-01-15,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,3.76677
,2022-01-16,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,2.386674
,2022-01-17,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,4.786024
,2022-01-18,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,5.391827
,2022-01-19,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,5.804647
,2022-01-20,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,5.369797
,2022-01-21,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,5.649208
,2022-01-22,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,3.292238
,2022-01-23,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,2.002414
,2022-01-24,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,4.205276
,2022-01-25,92224,C CE CERAMICA VILLA ROMANA,Consumidor Especial,SUDESTE,19.44,6.093017
