MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,48670,C CL PEDREIRA DOVALLE,Consumidor Livre,SUDESTE,16.799999999999997,0.329221
,2023-01-02,48670,C CL PEDREIRA DOVALLE,Consumidor Livre,SUDESTE,16.799999999999997,5.379378
,2023-01-03,48670,C CL PEDREIRA DOVALLE,Consumidor Livre,SUDESTE,16.799999999999997,4.142439
,2023-01-04,48670,C CL PEDREIRA DOVALLE,Consumidor Livre,SUDESTE,16.799999999999997,4.771898
,2023-01-05,48670,C CL PEDREIRA DOVALLE,Consumidor Livre,SUDESTE,16.799999999999997,5.32869
,2023-01-06,48670,C CL PEDREIRA DOVALLE,Consumidor Livre,SUDESTE,16.799999999999997,5.850815
,2023-01-07,48670,C CL PEDREIRA DOVALLE,Consumidor Livre,SUDESTE,16.799999999999997,3.868409
,2023-01-08,48670,C CL PEDREIRA DOVALLE,Consumidor Livre,SUDESTE,16.799999999999997,1.266624
,2023-01-09,48670,C CL PEDREIRA DOVALLE,Consumidor Livre,SUDESTE,16.799999999999997,3.256402
,2023-01-10,48670,C CL PEDREIRA DOVALLE,Consumidor Livre,SUDESTE,16.799999999999997,3.590838
,2023-01-11,48670,C CL PEDREIRA DOVALLE,Consumidor Livre,SUDESTE,16.799999999999997,4.715384
,2023-01-12,48670,C CL PEDREIRA DOVALLE,Consumidor Livre,SUDESTE,16.799999999999997,5.573928
,2023-01-13,48670,C CL PEDREIRA DOVALLE,Consumidor Livre,SUDESTE,16.799999999999997,4.700251
,2023-01-14,48670,C CL PEDREIRA DOVALLE,Consumidor Livre,SUDESTE,16.799999999999997,4.250415
,2023-01-15,48670,C CL PEDREIRA DOVALLE,Consumidor Livre,SUDESTE,16.799999999999997,3.834825
,2023-01-16,48670,C CL PEDREIRA DOVALLE,Consumidor Livre,SUDESTE,16.799999999999997,3.071242
