MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2024-01-01,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.145779
,2024-01-02,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.318449
,2024-01-03,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.468389
,2024-01-04,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.208958
,2024-01-05,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.384644
,2024-01-06,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.143959
,2024-01-07,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.131408
,2024-01-08,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.311541
,2024-01-09,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.338604
,2024-01-10,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.207993
,2024-01-11,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.4300549999999999
,2024-01-12,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.326073
,2024-01-13,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.141864
,2024-01-14,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.134815
,2024-01-15,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.445637
,2024-01-16,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.510424
,2024-01-17,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.378642
,2024-01-18,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.427856
,2024-01-19,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.32531
,2024-01-20,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.146658
,2024-01-21,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.136717
,2024-01-22,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.364779
,2024-01-23,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.285365
,2024-01-24,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.266726
,2024-01-25,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.217355
,2024-01-26,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.201544
,2024-01-27,122403,CAMERA PEDRO PAIVA,Consumidor Especial,SUL,3.12,0.128887
