MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-09-01,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.995979
,2023-09-02,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,8.105213
,2023-09-03,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,10.221714
,2023-09-04,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,4.0997
,2023-09-05,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,3.197599
,2023-09-06,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,5.21425
,2023-09-07,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,3.127387
,2023-09-08,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,3.155524
,2023-09-09,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,2.3069
,2023-09-10,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,0.683057
,2023-09-11,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,0.976925
,2023-09-12,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,3.965324
,2023-09-13,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.979153
,2023-09-14,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.830191
,2023-09-15,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,7.350106
,2023-09-16,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,7.992342
,2023-09-17,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,11.087883
,2023-09-18,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,8.016472
,2023-09-19,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,7.863186
,2023-09-20,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,7.825201
,2023-09-21,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,8.065956
,2023-09-22,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,8.353431
,2023-09-23,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,8.36552
,2023-09-24,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,10.833783
,2023-09-25,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,7.825668
,2023-09-26,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,8.120559
,2023-09-27,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,7.790448
,2023-09-28,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,7.183741
,2023-09-29,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.996112999999999
,2023-09-30,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,7.155221
,2023-10-01,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,8.861666
,2023-10-02,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,4.873997
,2023-10-03,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,4.228231
,2023-10-04,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.308652
,2023-10-05,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.106097
,2023-10-06,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,5.693918
,2023-10-07,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.106089
,2023-10-08,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,7.694712
,2023-10-09,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,5.439842
,2023-10-10,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,7.045846
,2023-10-11,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.598873
,2023-10-12,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,7.52163
,2023-10-13,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.507423
,2023-10-14,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,5.3658660000000005
,2023-10-15,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,3.312188
,2023-10-16,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,3.576954
,2023-10-17,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,3.285437
,2023-10-18,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,5.002232
,2023-10-19,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,4.187838
,2023-10-20,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,4.128636
,2023-10-21,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.397067
,2023-10-22,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,9.146822
,2023-10-23,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.412612
,2023-10-24,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.431215
,2023-10-25,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,3.99388
,2023-10-26,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,4.086631
,2023-10-27,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.547993
,2023-10-28,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.844479
,2023-10-29,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,8.78901
,2023-10-30,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,5.263376
,2023-10-31,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,3.659348
,2023-11-01,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.328824
,2023-11-02,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,8.477651
,2023-11-03,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.370542
,2023-11-04,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,7.350666
,2023-11-05,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,8.110424
,2023-11-06,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,9.446383
,2023-11-07,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,4.567029
,2023-11-08,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,3.632338
,2023-11-09,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,5.591089
,2023-11-10,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,3.668547
,2023-11-11,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,5.856089
,2023-11-12,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,8.734745
,2023-11-13,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.198923
,2023-11-14,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,8.993391
,2023-11-15,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,7.276747
,2023-11-16,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,7.762767
,2023-11-17,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.342208
,2023-11-18,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.506954
,2023-11-19,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,7.410597
,2023-11-20,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.873949
,2023-11-21,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,3.983978
,2023-11-22,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,1.097112
,2023-11-23,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,3.156345
,2023-11-24,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,5.356566
,2023-11-25,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,5.86345
,2023-11-26,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,5.904338
,2023-11-27,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,5.31937
,2023-11-28,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,3.014545
,2023-11-29,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,2.820525
,2023-11-30,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,4.50117
,2023-12-01,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,5.900246
,2023-12-02,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,5.083848
,2023-12-03,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.01293
,2023-12-04,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.248027
,2023-12-05,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.83874
,2023-12-06,113758,CARGILL SINOP MT,Consumidor Livre,SUDESTE,17.759999999999998,6.582218
