MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,95714,CENTERLAR,Consumidor Especial,SUDESTE,29.544,1.374652
,2022-01-02,95714,CENTERLAR,Consumidor Especial,SUDESTE,29.544,8.064102
,2022-01-03,95714,CENTERLAR,Consumidor Especial,SUDESTE,29.544,10.440088
,2022-01-04,95714,CENTERLAR,Consumidor Especial,SUDESTE,29.544,9.447833
,2022-01-05,95714,CENTERLAR,Consumidor Especial,SUDESTE,29.544,10.311271
,2022-01-06,95714,CENTERLAR,Consumidor Especial,SUDESTE,29.544,10.019626
,2022-01-07,95714,CENTERLAR,Consumidor Especial,SUDESTE,29.544,8.935526
,2022-01-08,95714,CENTERLAR,Consumidor Especial,SUDESTE,29.544,9.210683
,2022-01-09,95714,CENTERLAR,Consumidor Especial,SUDESTE,29.544,5.949526
,2022-01-10,95714,CENTERLAR,Consumidor Especial,SUDESTE,29.544,7.575985
,2022-01-11,95714,CENTERLAR,Consumidor Especial,SUDESTE,29.544,8.15178
,2022-01-12,95714,CENTERLAR,Consumidor Especial,SUDESTE,29.544,8.802674
,2022-01-13,95714,CENTERLAR,Consumidor Especial,SUDESTE,29.544,10.154298
,2022-01-14,95714,CENTERLAR,Consumidor Especial,SUDESTE,29.544,10.753612
,2022-01-15,95714,CENTERLAR,Consumidor Especial,SUDESTE,29.544,10.610829
,2022-01-16,95714,CENTERLAR,Consumidor Especial,SUDESTE,29.544,7.291402
,2022-01-17,95714,CENTERLAR,Consumidor Especial,SUDESTE,29.544,10.693581
,2022-01-18,95714,CENTERLAR,Consumidor Especial,SUDESTE,29.544,10.181247
,2022-01-19,95714,CENTERLAR,Consumidor Especial,SUDESTE,29.544,9.847515
,2022-01-20,95714,CENTERLAR,Consumidor Especial,SUDESTE,29.544,9.989533
,2022-01-21,95714,CENTERLAR,Consumidor Especial,SUDESTE,29.544,11.302354
