MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,0.187817
,2023-01-02,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,0.203625
,2023-01-03,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,0.353313
,2023-01-04,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.328113
,2023-01-05,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.953425
,2023-01-06,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,3.02711
,2023-01-07,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.993847
,2023-01-08,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.131643
,2023-01-09,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.882621
,2023-01-10,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.992726
,2023-01-11,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.900165
,2023-01-12,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.85735
,2023-01-13,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.871499
,2023-01-14,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.789049
,2023-01-15,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,1.750807
,2023-01-16,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.877955
,2023-01-17,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.720786
,2023-01-18,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.796146
,2023-01-19,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.888513
,2023-01-20,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.684656
,2023-01-21,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.790436
,2023-01-22,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,1.738743
,2023-01-23,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.973139
,2023-01-24,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,3.122579
,2023-01-25,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.882452
,2023-01-26,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.96071
,2023-01-27,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,3.185833
,2023-01-28,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,3.304206
,2023-01-29,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,1.785133
,2023-01-30,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.826225
,2023-01-31,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.866609
,2023-02-01,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.892668
,2023-02-02,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,3.080141
,2023-02-03,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.878903
,2023-02-04,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.864169
,2023-02-05,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,1.810437
,2023-02-06,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.888677
,2023-02-07,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,3.218832
,2023-02-08,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,3.045988
,2023-02-09,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,3.044841
,2023-02-10,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,3.095023
,2023-02-11,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,3.071658
,2023-02-12,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.243559
,2023-02-13,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.9782260000000003
,2023-02-14,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.854324
,2023-02-15,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,3.024322
,2023-02-16,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,3.066271
,2023-02-17,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.704422
,2023-02-18,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.958961
,2023-02-19,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,1.930995
,2023-02-20,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,1.033916
,2023-02-21,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,0.621985
,2023-02-22,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.272403
,2023-02-23,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,3.02046
,2023-02-24,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.846149
,2023-02-25,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,3.149417
,2023-02-26,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,1.762981
,2023-02-27,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,3.031215
,2023-02-28,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.851924
,2023-03-01,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.854659
,2023-03-02,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.697395
,2023-03-03,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,3.152542
,2023-03-04,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.997757
,2023-03-05,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.037015
,2023-03-06,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.329759
,2023-03-07,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,1.782209
,2023-03-08,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,3.1845
,2023-03-09,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.499891
,2023-03-10,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,3.058112
,2023-03-11,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.705443
,2023-03-12,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.183454
,2023-03-13,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.879544
,2023-03-14,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,1.379459
,2023-03-15,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,3.161018
,2023-03-16,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,3.315295
,2023-03-17,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,3.183224
,2023-03-18,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,3.148327
,2023-03-19,55094,CERAMICA MEDEANA - NESP,Consumidor Livre,SUDESTE,12.24,2.292171
