MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,4.148156
,2023-01-02,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,9.81763
,2023-01-03,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,11.98958
,2023-01-04,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,11.571668
,2023-01-05,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,10.527935
,2023-01-06,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,10.044272
,2023-01-07,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,6.949079
,2023-01-08,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,4.698522
,2023-01-09,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,10.36514
,2023-01-10,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,11.815
,2023-01-11,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,11.842879
,2023-01-12,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.311736
,2023-01-13,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.605319
,2023-01-14,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,8.244601
,2023-01-15,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,6.142751
,2023-01-16,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,11.902591
,2023-01-17,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,13.021288
,2023-01-18,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.860412
,2023-01-19,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.610263
,2023-01-20,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.007814
,2023-01-21,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,7.75647
,2023-01-22,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,5.060648
,2023-01-23,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,11.330443
,2023-01-24,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.938681
,2023-01-25,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.891816
,2023-01-26,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.705296
,2023-01-27,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.902628
,2023-01-28,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,8.890634
,2023-01-29,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,5.419631
,2023-01-30,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,11.409622
,2023-01-31,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.599483
,2023-02-01,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,10.463862
,2023-02-02,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.505315
,2023-02-03,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.058704
,2023-02-04,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,8.445593
,2023-02-05,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,5.656297
,2023-02-06,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,11.467908
,2023-02-07,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.639785
,2023-02-08,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.771895
,2023-02-09,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.777599
,2023-02-10,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,13.109507
,2023-02-11,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,9.095763
,2023-02-12,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,6.338414
,2023-02-13,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,11.549618
,2023-02-14,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,13.012625
,2023-02-15,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.931976
,2023-02-16,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,13.162578
,2023-02-17,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.537107
,2023-02-18,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,8.181455
,2023-02-19,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,4.955441
,2023-02-20,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,6.264451
,2023-02-21,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,7.399816
,2023-02-22,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.026642
,2023-02-23,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.710425
,2023-02-24,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.259301
,2023-02-25,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,8.141964
,2023-02-26,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,5.815698
,2023-02-27,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.16143
,2023-02-28,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,11.902369
,2023-03-01,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.094547
,2023-03-02,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.439482
,2023-03-03,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.555337
,2023-03-04,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,7.719705
,2023-03-05,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,4.9758700000000005
,2023-03-06,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,11.827678
,2023-03-07,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.318135
,2023-03-08,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,13.097777
,2023-03-09,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.981747
,2023-03-10,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.238095
,2023-03-11,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,8.589909
,2023-03-12,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,6.21926
,2023-03-13,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,11.685035
,2023-03-14,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.571597
,2023-03-15,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.809417
,2023-03-16,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,13.168553
,2023-03-17,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.219886
,2023-03-18,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,8.693656
,2023-03-19,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,4.759867
,2023-03-20,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,11.572528
,2023-03-21,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.871974
,2023-03-22,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.777409
,2023-03-23,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.824471
,2023-03-24,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.736421
,2023-03-25,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,8.831532
,2023-03-26,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,5.995593
,2023-03-27,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.324447
,2023-03-28,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.5022
,2023-03-29,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.529013
,2023-03-30,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.609123
,2023-03-31,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.812371
,2023-04-01,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,8.043747
,2023-04-02,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,4.632662
,2023-04-03,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,10.431725
,2023-04-04,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.274674
,2023-04-05,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.195437
,2023-04-06,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,12.195278
,2023-04-07,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,6.394142
,2023-04-08,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,6.007314
,2023-04-09,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,5.307445
,2023-04-10,100097,CNH INDUSTRIALCL 514 23,Consumidor Livre,SUDESTE,24.84,10.387745
