MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202412.0,2024-12-01,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,2.463165
202412.0,2024-12-02,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,4.63793
202412.0,2024-12-03,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,4.794453
202412.0,2024-12-04,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,5.181345
202412.0,2024-12-05,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,5.00764
202412.0,2024-12-06,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,4.989132
202412.0,2024-12-07,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,4.365477
202412.0,2024-12-08,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,2.263661
202412.0,2024-12-09,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,4.84441
202412.0,2024-12-10,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,4.992208
202412.0,2024-12-11,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,4.77789
202412.0,2024-12-12,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,5.213292
202412.0,2024-12-13,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,5.459651
202412.0,2024-12-14,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,4.536104
202412.0,2024-12-15,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,2.499774
202412.0,2024-12-16,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,5.30124
202412.0,2024-12-17,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,5.617736
202412.0,2024-12-18,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,5.619661
202412.0,2024-12-19,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,5.473511
202412.0,2024-12-20,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,5.367705
202412.0,2024-12-21,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,5.330496
202412.0,2024-12-22,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,2.734944
202412.0,2024-12-23,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,5.588672
202412.0,2024-12-24,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,5.225296
202412.0,2024-12-25,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,0.740793
202412.0,2024-12-26,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,5.277908
202412.0,2024-12-27,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,5.636924
202412.0,2024-12-28,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,4.824938
202412.0,2024-12-29,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,2.576606
202412.0,2024-12-30,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,5.601713
202412.0,2024-12-31,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,4.955192
202501.0,2025-01-01,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,0.673539
202501.0,2025-01-02,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,5.410374
202501.0,2025-01-03,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,5.411661
202501.0,2025-01-04,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,4.422019
202501.0,2025-01-05,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,2.177225
202501.0,2025-01-06,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,5.215742
202501.0,2025-01-07,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,4.049557
202501.0,2025-01-08,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,4.6703090000000005
202501.0,2025-01-09,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,4.785213
202501.0,2025-01-10,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,4.857687
202501.0,2025-01-11,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,4.529717
202501.0,2025-01-12,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,2.200053
202501.0,2025-01-13,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,4.828733
202501.0,2025-01-14,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,3.506491
202501.0,2025-01-15,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,3.696637
202501.0,2025-01-16,141755,COHAMA ATAC,Consumidor Especial,NORTE,14.232,4.100055
