MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,5.535324
,2022-01-01,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,59.244397
,2022-01-02,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,5.148833
,2022-01-02,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,61.726588
,2022-01-03,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,15.716051
,2022-01-03,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,131.43395
,2022-01-04,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,24.38699
,2022-01-04,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,142.364716
,2022-01-05,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,21.628333
,2022-01-05,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,140.70936
,2022-01-06,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,23.835279
,2022-01-06,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,136.126591
,2022-01-07,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,25.524701
,2022-01-07,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,134.202743
,2022-01-08,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,15.282988
,2022-01-08,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,104.828966
,2022-01-09,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,10.053224
,2022-01-09,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,75.847112
,2022-01-10,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,19.612287
,2022-01-10,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,134.24727
,2022-01-11,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,22.903979
,2022-01-11,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,146.864721
,2022-01-12,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,22.66501
,2022-01-12,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,153.83028
,2022-01-13,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,25.534709
,2022-01-13,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,148.478237
,2022-01-14,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,30.446284
,2022-01-14,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,149.735849
,2022-01-15,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,27.989989
,2022-01-15,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,113.012341
,2022-01-16,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,17.969737
,2022-01-16,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,76.903701
,2022-01-17,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,23.006241
,2022-01-17,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,149.83866
,2022-01-18,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,32.711411
,2022-01-18,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,162.226849
,2022-01-19,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,31.252016
,2022-01-19,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,167.688939
,2022-01-20,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,27.914417
,2022-01-20,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,164.887478
,2022-01-21,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,30.719552
,2022-01-21,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,173.212607
,2022-01-22,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,25.939202
,2022-01-22,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,143.174318
,2022-01-23,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,24.903955
,2022-01-23,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,97.963427
,2022-01-24,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,27.822979
,2022-01-24,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,175.891466
,2022-01-25,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,35.840213
,2022-01-25,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,181.73501
,2022-01-26,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,46.704808
,2022-01-26,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,191.324845
,2022-01-27,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,41.870397
,2022-01-27,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,173.430273
,2022-01-28,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,38.69918
,2022-01-28,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,153.259287
,2022-01-29,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,33.380416
,2022-01-29,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,123.394913
,2022-01-30,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,40.090997
,2022-01-30,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,101.61213
,2022-01-31,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,59.069332
,2022-01-31,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,164.159118
,2022-02-01,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,67.152316
,2022-02-01,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,207.224334
,2022-02-02,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,73.654871
,2022-02-02,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,238.21661
,2022-02-03,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,54.762921
,2022-02-03,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,232.590463
,2022-02-04,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUDESTE,243.96,41.178238
,2022-02-04,68132,COPEL CONSUMIDORES VAREJ ESPEC,Comercializador,SUL,1127.568,197.118749
