MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,85141,CSAL,Consumidor Especial,SUDESTE,12.0,1.455589
,2022-01-02,85141,CSAL,Consumidor Especial,SUDESTE,12.0,1.579438
,2022-01-03,85141,CSAL,Consumidor Especial,SUDESTE,12.0,2.303033
,2022-01-04,85141,CSAL,Consumidor Especial,SUDESTE,12.0,3.044362
,2022-01-05,85141,CSAL,Consumidor Especial,SUDESTE,12.0,3.247105
,2022-01-06,85141,CSAL,Consumidor Especial,SUDESTE,12.0,3.500963
,2022-01-07,85141,CSAL,Consumidor Especial,SUDESTE,12.0,3.75323
,2022-01-08,85141,CSAL,Consumidor Especial,SUDESTE,12.0,2.414326
,2022-01-09,85141,CSAL,Consumidor Especial,SUDESTE,12.0,1.550851
,2022-01-10,85141,CSAL,Consumidor Especial,SUDESTE,12.0,4.613004
,2022-01-11,85141,CSAL,Consumidor Especial,SUDESTE,12.0,6.404489
,2022-01-12,85141,CSAL,Consumidor Especial,SUDESTE,12.0,6.1285810000000005
,2022-01-13,85141,CSAL,Consumidor Especial,SUDESTE,12.0,5.939681
,2022-01-14,85141,CSAL,Consumidor Especial,SUDESTE,12.0,5.524038
,2022-01-15,85141,CSAL,Consumidor Especial,SUDESTE,12.0,3.111775
,2022-01-16,85141,CSAL,Consumidor Especial,SUDESTE,12.0,1.621873
,2022-01-17,85141,CSAL,Consumidor Especial,SUDESTE,12.0,4.39558
,2022-01-18,85141,CSAL,Consumidor Especial,SUDESTE,12.0,6.314223
,2022-01-19,85141,CSAL,Consumidor Especial,SUDESTE,12.0,5.871691
,2022-01-20,85141,CSAL,Consumidor Especial,SUDESTE,12.0,5.47255
,2022-01-21,85141,CSAL,Consumidor Especial,SUDESTE,12.0,5.561077
,2022-01-22,85141,CSAL,Consumidor Especial,SUDESTE,12.0,3.382035
,2022-01-23,85141,CSAL,Consumidor Especial,SUDESTE,12.0,1.536287
,2022-01-24,85141,CSAL,Consumidor Especial,SUDESTE,12.0,4.191581
,2022-01-25,85141,CSAL,Consumidor Especial,SUDESTE,12.0,5.918512
,2022-01-26,85141,CSAL,Consumidor Especial,SUDESTE,12.0,6.265982
,2022-01-27,85141,CSAL,Consumidor Especial,SUDESTE,12.0,5.974823
,2022-01-28,85141,CSAL,Consumidor Especial,SUDESTE,12.0,5.984408999999999
,2022-01-29,85141,CSAL,Consumidor Especial,SUDESTE,12.0,3.464284
,2022-01-30,85141,CSAL,Consumidor Especial,SUDESTE,12.0,1.733321
,2022-01-31,85141,CSAL,Consumidor Especial,SUDESTE,12.0,4.43752
