MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-12-01,106786,DRISNER,Consumidor Especial,SUL,13.056,4.094485
,2023-12-02,106786,DRISNER,Consumidor Especial,SUL,13.056,2.242471
,2023-12-03,106786,DRISNER,Consumidor Especial,SUL,13.056,0.193479
,2023-12-04,106786,DRISNER,Consumidor Especial,SUL,13.056,3.142522
,2023-12-05,106786,DRISNER,Consumidor Especial,SUL,13.056,3.461593
,2023-12-06,106786,DRISNER,Consumidor Especial,SUL,13.056,3.371432
,2023-12-07,106786,DRISNER,Consumidor Especial,SUL,13.056,2.618562
,2023-12-08,106786,DRISNER,Consumidor Especial,SUL,13.056,3.314248
,2023-12-09,106786,DRISNER,Consumidor Especial,SUL,13.056,0.712829
,2023-12-10,106786,DRISNER,Consumidor Especial,SUL,13.056,0.174226
,2023-12-11,106786,DRISNER,Consumidor Especial,SUL,13.056,0.940853
,2023-12-12,106786,DRISNER,Consumidor Especial,SUL,13.056,3.609228
,2023-12-13,106786,DRISNER,Consumidor Especial,SUL,13.056,2.238057
,2023-12-14,106786,DRISNER,Consumidor Especial,SUL,13.056,3.954567
,2023-12-15,106786,DRISNER,Consumidor Especial,SUL,13.056,3.848927
,2023-12-16,106786,DRISNER,Consumidor Especial,SUL,13.056,1.725677
,2023-12-17,106786,DRISNER,Consumidor Especial,SUL,13.056,0.252884
,2023-12-18,106786,DRISNER,Consumidor Especial,SUL,13.056,3.418474
,2023-12-19,106786,DRISNER,Consumidor Especial,SUL,13.056,1.217466
,2023-12-20,106786,DRISNER,Consumidor Especial,SUL,13.056,3.456694
,2023-12-21,106786,DRISNER,Consumidor Especial,SUL,13.056,3.236683
,2023-12-22,106786,DRISNER,Consumidor Especial,SUL,13.056,3.395544
,2023-12-23,106786,DRISNER,Consumidor Especial,SUL,13.056,0.208194
,2023-12-24,106786,DRISNER,Consumidor Especial,SUL,13.056,0.189296
,2023-12-25,106786,DRISNER,Consumidor Especial,SUL,13.056,0.192125
,2023-12-26,106786,DRISNER,Consumidor Especial,SUL,13.056,0.185505
,2023-12-27,106786,DRISNER,Consumidor Especial,SUL,13.056,3.18777
,2023-12-28,106786,DRISNER,Consumidor Especial,SUL,13.056,3.628489
,2023-12-29,106786,DRISNER,Consumidor Especial,SUL,13.056,0.276941
,2023-12-30,106786,DRISNER,Consumidor Especial,SUL,13.056,0.205516
,2023-12-31,106786,DRISNER,Consumidor Especial,SUL,13.056,0.170136
,2024-01-01,106786,DRISNER,Consumidor Especial,SUL,13.056,1.78469
,2024-01-02,106786,DRISNER,Consumidor Especial,SUL,13.056,2.338477
,2024-01-03,106786,DRISNER,Consumidor Especial,SUL,13.056,2.419138
,2024-01-04,106786,DRISNER,Consumidor Especial,SUL,13.056,2.365854
,2024-01-05,106786,DRISNER,Consumidor Especial,SUL,13.056,2.306207
,2024-01-06,106786,DRISNER,Consumidor Especial,SUL,13.056,2.346071
,2024-01-07,106786,DRISNER,Consumidor Especial,SUL,13.056,2.181075
,2024-01-08,106786,DRISNER,Consumidor Especial,SUL,13.056,2.439037
,2024-01-09,106786,DRISNER,Consumidor Especial,SUL,13.056,2.516168
,2024-01-10,106786,DRISNER,Consumidor Especial,SUL,13.056,2.489145
,2024-01-11,106786,DRISNER,Consumidor Especial,SUL,13.056,2.416089
,2024-01-12,106786,DRISNER,Consumidor Especial,SUL,13.056,2.320121
,2024-01-13,106786,DRISNER,Consumidor Especial,SUL,13.056,2.429714
,2024-01-14,106786,DRISNER,Consumidor Especial,SUL,13.056,2.192767
,2024-01-15,106786,DRISNER,Consumidor Especial,SUL,13.056,2.413497
,2024-01-16,106786,DRISNER,Consumidor Especial,SUL,13.056,2.466579
,2024-01-17,106786,DRISNER,Consumidor Especial,SUL,13.056,2.481448
,2024-01-18,106786,DRISNER,Consumidor Especial,SUL,13.056,2.418143
,2024-01-19,106786,DRISNER,Consumidor Especial,SUL,13.056,2.344893
,2024-01-20,106786,DRISNER,Consumidor Especial,SUL,13.056,2.304964
,2024-01-21,106786,DRISNER,Consumidor Especial,SUL,13.056,2.138069
,2024-01-22,106786,DRISNER,Consumidor Especial,SUL,13.056,2.226962
,2024-01-23,106786,DRISNER,Consumidor Especial,SUL,13.056,1.979966
,2024-01-24,106786,DRISNER,Consumidor Especial,SUL,13.056,2.211279
,2024-01-25,106786,DRISNER,Consumidor Especial,SUL,13.056,2.143659
,2024-01-26,106786,DRISNER,Consumidor Especial,SUL,13.056,2.079523
,2024-01-27,106786,DRISNER,Consumidor Especial,SUL,13.056,2.246246
,2024-01-28,106786,DRISNER,Consumidor Especial,SUL,13.056,2.14784
,2024-01-29,106786,DRISNER,Consumidor Especial,SUL,13.056,2.364031
,2024-01-30,106786,DRISNER,Consumidor Especial,SUL,13.056,2.419393
,2024-01-31,106786,DRISNER,Consumidor Especial,SUL,13.056,2.470734
,2024-02-01,106786,DRISNER,Consumidor Especial,SUL,13.056,3.910107
,2024-02-02,106786,DRISNER,Consumidor Especial,SUL,13.056,4.406782
,2024-02-03,106786,DRISNER,Consumidor Especial,SUL,13.056,3.036719
,2024-02-04,106786,DRISNER,Consumidor Especial,SUL,13.056,0.258882
,2024-02-05,106786,DRISNER,Consumidor Especial,SUL,13.056,3.830833
,2024-02-06,106786,DRISNER,Consumidor Especial,SUL,13.056,3.65303
,2024-02-07,106786,DRISNER,Consumidor Especial,SUL,13.056,3.630764
,2024-02-08,106786,DRISNER,Consumidor Especial,SUL,13.056,3.492692
,2024-02-09,106786,DRISNER,Consumidor Especial,SUL,13.056,3.259535
,2024-02-10,106786,DRISNER,Consumidor Especial,SUL,13.056,2.983668
,2024-02-11,106786,DRISNER,Consumidor Especial,SUL,13.056,0.203387
,2024-02-12,106786,DRISNER,Consumidor Especial,SUL,13.056,0.2377729999999999
,2024-02-13,106786,DRISNER,Consumidor Especial,SUL,13.056,0.245271
,2024-02-14,106786,DRISNER,Consumidor Especial,SUL,13.056,3.293214
,2024-02-15,106786,DRISNER,Consumidor Especial,SUL,13.056,3.451893
,2024-02-16,106786,DRISNER,Consumidor Especial,SUL,13.056,4.077172
,2024-02-17,106786,DRISNER,Consumidor Especial,SUL,13.056,0.27147
,2024-02-18,106786,DRISNER,Consumidor Especial,SUL,13.056,0.207146
,2024-02-19,106786,DRISNER,Consumidor Especial,SUL,13.056,3.597209
,2024-02-20,106786,DRISNER,Consumidor Especial,SUL,13.056,3.518094
,2024-02-21,106786,DRISNER,Consumidor Especial,SUL,13.056,3.271984
,2024-02-22,106786,DRISNER,Consumidor Especial,SUL,13.056,3.2217100000000003
,2024-02-23,106786,DRISNER,Consumidor Especial,SUL,13.056,3.770995
,2024-02-24,106786,DRISNER,Consumidor Especial,SUL,13.056,0.613142
,2024-02-25,106786,DRISNER,Consumidor Especial,SUL,13.056,0.211338
,2024-02-26,106786,DRISNER,Consumidor Especial,SUL,13.056,3.590015
,2024-02-27,106786,DRISNER,Consumidor Especial,SUL,13.056,2.966813
,2024-02-28,106786,DRISNER,Consumidor Especial,SUL,13.056,1.780431
,2024-02-29,106786,DRISNER,Consumidor Especial,SUL,13.056,3.624812
202403.0,2024-03-01,106786,DRISNER,Consumidor Especial,SUL,13.056,3.486502
202403.0,2024-03-02,106786,DRISNER,Consumidor Especial,SUL,13.056,0.9774
202403.0,2024-03-03,106786,DRISNER,Consumidor Especial,SUL,13.056,0.218794
202403.0,2024-03-04,106786,DRISNER,Consumidor Especial,SUL,13.056,2.926439
202403.0,2024-03-05,106786,DRISNER,Consumidor Especial,SUL,13.056,4.00861
202403.0,2024-03-06,106786,DRISNER,Consumidor Especial,SUL,13.056,3.736302
202403.0,2024-03-07,106786,DRISNER,Consumidor Especial,SUL,13.056,3.847178
202403.0,2024-03-08,106786,DRISNER,Consumidor Especial,SUL,13.056,4.429374
202403.0,2024-03-09,106786,DRISNER,Consumidor Especial,SUL,13.056,0.8809670000000001
202403.0,2024-03-10,106786,DRISNER,Consumidor Especial,SUL,13.056,0.243849
202403.0,2024-03-11,106786,DRISNER,Consumidor Especial,SUL,13.056,4.057175
202403.0,2024-03-12,106786,DRISNER,Consumidor Especial,SUL,13.056,3.955858
202403.0,2024-03-13,106786,DRISNER,Consumidor Especial,SUL,13.056,3.929753
202403.0,2024-03-14,106786,DRISNER,Consumidor Especial,SUL,13.056,3.779551
202403.0,2024-03-15,106786,DRISNER,Consumidor Especial,SUL,13.056,4.141248
202403.0,2024-03-16,106786,DRISNER,Consumidor Especial,SUL,13.056,1.127463
202403.0,2024-03-17,106786,DRISNER,Consumidor Especial,SUL,13.056,0.208836
202403.0,2024-03-18,106786,DRISNER,Consumidor Especial,SUL,13.056,3.130628
202403.0,2024-03-19,106786,DRISNER,Consumidor Especial,SUL,13.056,4.017328
202403.0,2024-03-20,106786,DRISNER,Consumidor Especial,SUL,13.056,3.441538
202403.0,2024-03-21,106786,DRISNER,Consumidor Especial,SUL,13.056,2.131216
202403.0,2024-03-22,106786,DRISNER,Consumidor Especial,SUL,13.056,2.976152
202403.0,2024-03-23,106786,DRISNER,Consumidor Especial,SUL,13.056,0.223818
202403.0,2024-03-24,106786,DRISNER,Consumidor Especial,SUL,13.056,0.174406
202403.0,2024-03-25,106786,DRISNER,Consumidor Especial,SUL,13.056,3.975175
202403.0,2024-03-26,106786,DRISNER,Consumidor Especial,SUL,13.056,2.849778
202403.0,2024-03-27,106786,DRISNER,Consumidor Especial,SUL,13.056,0.978845
202403.0,2024-03-28,106786,DRISNER,Consumidor Especial,SUL,13.056,4.254214
202403.0,2024-03-29,106786,DRISNER,Consumidor Especial,SUL,13.056,0.184253
