MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-09-01,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,3.057495
,2023-09-02,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,2.004502
,2023-09-03,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,2.399516
,2023-09-04,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,3.878601
,2023-09-05,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,3.24668
,2023-09-06,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,2.861751
,2023-09-07,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,2.09296
,2023-09-08,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,2.776063
,2023-09-09,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,2.262235
,2023-09-10,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,2.01937
,2023-09-11,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,3.258908
,2023-09-12,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,3.706041
,2023-09-13,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,3.609747
,2023-09-14,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,3.020324
,2023-09-15,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,2.549055
,2023-09-16,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,2.274685
,2023-09-17,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,2.449215
,2023-09-18,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,3.578541
,2023-09-19,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,3.941972
,2023-09-20,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,3.332458
,2023-09-21,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,3.239265
,2023-09-22,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,3.27183
,2023-09-23,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,1.6454
,2023-09-24,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,2.731953
,2023-09-25,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,2.766662
,2023-09-26,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,3.354679
,2023-09-27,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,3.414592
,2023-09-28,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,2.750257
,2023-09-29,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,2.515882
,2023-09-30,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,2.003655
,2023-10-01,113350,ECOM_V - I5 - S,Comercializador,SUL,12.0,2.06105
