MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202507.0,2025-07-01,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,8.891628
202507.0,2025-07-02,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,7.370031
202507.0,2025-07-03,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,6.914967
202507.0,2025-07-04,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,6.651975
202507.0,2025-07-05,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,7.300815
202507.0,2025-07-06,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,4.064563
202507.0,2025-07-07,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,6.004299
202507.0,2025-07-08,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,6.456262
202507.0,2025-07-09,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,6.924291
202507.0,2025-07-10,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,7.46099
202507.0,2025-07-11,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,7.093319
202507.0,2025-07-12,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,6.180075
202507.0,2025-07-13,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,5.879444
202507.0,2025-07-14,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,6.67099
202507.0,2025-07-15,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,6.833644
202507.0,2025-07-16,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,6.6753480000000005
202507.0,2025-07-17,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,5.208315
202507.0,2025-07-18,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,6.371199
202507.0,2025-07-19,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,5.980634
202507.0,2025-07-20,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,3.871123
202507.0,2025-07-21,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,5.996103
202507.0,2025-07-22,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,14.382898
202507.0,2025-07-23,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,27.432855
202507.0,2025-07-24,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,26.060611
202507.0,2025-07-25,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,28.387013
202507.0,2025-07-26,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,25.83817
202507.0,2025-07-27,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,27.980815
202507.0,2025-07-28,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,29.551357
202507.0,2025-07-29,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,30.724732
202507.0,2025-07-30,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,29.667305
202507.0,2025-07-31,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,31.012558
202508.0,2025-08-01,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,27.168736
202508.0,2025-08-02,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,26.750756
202508.0,2025-08-03,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,26.030231
202508.0,2025-08-04,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,15.246046
202508.0,2025-08-05,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,16.05022
202508.0,2025-08-06,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,29.954844
202508.0,2025-08-07,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,23.995988
202508.0,2025-08-08,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,22.386023
202508.0,2025-08-09,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,28.295045
202508.0,2025-08-10,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,20.584202
202508.0,2025-08-11,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,21.421443
202508.0,2025-08-12,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,21.851669
202508.0,2025-08-13,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,14.269997
202508.0,2025-08-14,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,22.700718
202508.0,2025-08-15,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,27.386582
202508.0,2025-08-16,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,29.720549
202508.0,2025-08-17,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,25.650439
202508.0,2025-08-18,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,29.256534
202508.0,2025-08-19,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,27.670421
202508.0,2025-08-20,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,21.215941
202508.0,2025-08-21,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,27.460519
202508.0,2025-08-22,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,25.500462
202508.0,2025-08-23,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,12.854149
202508.0,2025-08-24,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,12.433635
202508.0,2025-08-25,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,14.652032
202508.0,2025-08-26,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,20.693998
202508.0,2025-08-27,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,22.428814
202508.0,2025-08-28,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,20.950185
202508.0,2025-08-29,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,17.077457
202508.0,2025-08-30,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,14.705509
202508.0,2025-08-31,184166,ECONOMIA CIRCULAR CL,Consumidor Livre,SUDESTE,48.0,12.422268
