MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202403.0,2024-03-01,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.008408
202403.0,2024-03-02,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.004644
202403.0,2024-03-03,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,1.997033
202403.0,2024-03-04,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.444777
202403.0,2024-03-05,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.962335
202403.0,2024-03-06,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.624043
202403.0,2024-03-07,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.388127
202403.0,2024-03-08,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.778604
202403.0,2024-03-09,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.019143
202403.0,2024-03-10,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.069615
202403.0,2024-03-11,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.113981
202403.0,2024-03-12,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.743648
202403.0,2024-03-13,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.77273
202403.0,2024-03-14,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,4.163694
202403.0,2024-03-15,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.093431
202403.0,2024-03-16,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.246927
202403.0,2024-03-17,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,1.929779
202403.0,2024-03-18,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.896486
202403.0,2024-03-19,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.79702
202403.0,2024-03-20,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.840288
202403.0,2024-03-21,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.640548
202403.0,2024-03-22,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.590894
202403.0,2024-03-23,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,1.7527
202403.0,2024-03-24,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,1.669439
202403.0,2024-03-25,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.364673
202403.0,2024-03-26,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.177397
202403.0,2024-03-27,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.859177
202403.0,2024-03-28,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.690332
202403.0,2024-03-29,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,1.745338
202403.0,2024-03-30,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,1.861145
202403.0,2024-03-31,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,1.818639
202404.0,2024-04-01,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.395154
202404.0,2024-04-02,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.39498
202404.0,2024-04-03,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.329876
202404.0,2024-04-04,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.689219
202404.0,2024-04-05,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.734711
202404.0,2024-04-06,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,1.941074
202404.0,2024-04-07,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,1.81005
202404.0,2024-04-08,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.620882
202404.0,2024-04-09,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.148462
202404.0,2024-04-10,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.118359
202404.0,2024-04-11,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.173177
202404.0,2024-04-12,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.499414
202404.0,2024-04-13,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,1.850868
202404.0,2024-04-14,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,1.673305
202404.0,2024-04-15,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.312559
202404.0,2024-04-16,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.848894
202404.0,2024-04-17,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.867035
202404.0,2024-04-18,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.333405
202404.0,2024-04-19,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,1.889436
202404.0,2024-04-20,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,1.337839
202404.0,2024-04-21,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,1.708068
202404.0,2024-04-22,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.478644
202404.0,2024-04-23,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.82859
202404.0,2024-04-24,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.750904
202404.0,2024-04-25,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.808866
202404.0,2024-04-26,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.226476
202404.0,2024-04-27,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,1.797284
202404.0,2024-04-28,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,1.793788
202404.0,2024-04-29,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.512508
202404.0,2024-04-30,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.178644
202405.0,2024-05-01,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,1.803781
202405.0,2024-05-02,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.276069
202405.0,2024-05-03,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.637764
202405.0,2024-05-04,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,1.873015
202405.0,2024-05-05,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,1.825426
202405.0,2024-05-06,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.391152
202405.0,2024-05-07,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.177273
202405.0,2024-05-08,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.558273
202405.0,2024-05-09,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,3.427815
202405.0,2024-05-10,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.586957
202405.0,2024-05-11,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,1.77948
202405.0,2024-05-12,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,1.732504
202405.0,2024-05-13,128036,EDITORA ED NESP I5,Consumidor Livre,SUL,13.2,2.592624
