MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,0.408495
,2022-01-02,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,0.400972
,2022-01-03,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,0.4979
,2022-01-04,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,0.5095959999999999
,2022-01-05,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,0.92248
,2022-01-06,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,5.703993
,2022-01-07,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,8.528739
,2022-01-08,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,5.606526
,2022-01-09,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,0.892407
,2022-01-10,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,8.491223
,2022-01-11,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,11.818363
,2022-01-12,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,13.783014
,2022-01-13,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,14.254934
,2022-01-14,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,12.404275
,2022-01-15,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,8.421932
,2022-01-16,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,2.982482
,2022-01-17,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,8.847776
,2022-01-18,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,9.887342
,2022-01-19,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,10.100751
,2022-01-20,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,11.058067
,2022-01-21,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,11.344578
,2022-01-22,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,6.850927
,2022-01-23,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,1.810629
,2022-01-24,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,9.781685
,2022-01-25,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,12.954679
,2022-01-26,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,13.830818
,2022-01-27,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,13.262636
,2022-01-28,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,13.176312
,2022-01-29,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,9.096797
,2022-01-30,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,2.595105
,2022-01-31,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,9.312544
,2022-02-01,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,10.926855
,2022-02-02,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,11.597414
,2022-02-03,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,11.228044
,2022-02-04,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,12.38624
,2022-02-05,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,8.795012
,2022-02-06,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,2.668164
,2022-02-07,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,10.311649
,2022-02-08,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,10.460369
,2022-02-09,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,11.783487
,2022-02-10,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,11.880648
,2022-02-11,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,12.245109
,2022-02-12,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,8.977843
,2022-02-13,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,3.943753
,2022-02-14,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,9.943715
,2022-02-15,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,12.553083
,2022-02-16,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,12.037159
,2022-02-17,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,10.788942
,2022-02-18,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,12.200947
,2022-02-19,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,7.615212
,2022-02-20,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,2.887364
,2022-02-21,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,10.123477
,2022-02-22,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,11.100184
,2022-02-23,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,13.09019
,2022-02-24,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,13.131946
,2022-02-25,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,12.706293
,2022-02-26,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,9.09633
,2022-02-27,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,2.353171
,2022-02-28,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,10.478327
,2022-03-01,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,12.263835
,2022-03-02,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,12.495143
,2022-03-03,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,12.412511
,2022-03-04,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,12.484329
,2022-03-05,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,8.669669
,2022-03-06,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,2.037377
,2022-03-07,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,9.940326
,2022-03-08,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,11.94156
,2022-03-09,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,12.992241
,2022-03-10,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,13.821919
,2022-03-11,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,13.553895
,2022-03-12,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,10.013079
,2022-03-13,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,3.283908
,2022-03-14,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,11.773771
,2022-03-15,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,13.319435
,2022-03-16,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,14.299929
,2022-03-17,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,14.855246
,2022-03-18,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,14.588913
,2022-03-19,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,9.978183
,2022-03-20,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,2.579335
,2022-03-21,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,11.004256
,2022-03-22,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,13.377788
,2022-03-23,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,14.282039
,2022-03-24,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,14.420666
,2022-03-25,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,14.345302
,2022-03-26,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,10.23238
,2022-03-27,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,2.796986
,2022-03-28,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,11.933602
,2022-03-29,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,12.91827
,2022-03-30,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,13.419557
,2022-03-31,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,13.980312
,2022-04-01,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,13.408093
,2022-04-02,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,10.547494
,2022-04-03,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,4.418412
,2022-04-04,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,12.535146
,2022-04-05,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,13.863674
,2022-04-06,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,14.014045
,2022-04-07,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,13.887392
,2022-04-08,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,13.104921
,2022-04-09,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,10.383034
,2022-04-10,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,2.426838
,2022-04-11,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,9.198429
,2022-04-12,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,9.853657
,2022-04-13,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,10.932781
,2022-04-14,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,12.17576
,2022-04-15,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,2.723575
,2022-04-16,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,3.130232
,2022-04-17,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,2.821127
,2022-04-18,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,8.819168
,2022-04-19,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,12.493307
,2022-04-20,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,12.603608
,2022-04-21,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,11.135474
,2022-04-22,62414,ELIZA PLASTICOS,Consumidor Especial,SUL,21.6,11.274212
