MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,0.902514
,2022-01-02,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,1.544447
,2022-01-03,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,24.671762
,2022-01-04,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,31.137449
,2022-01-05,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,31.66244
,2022-01-06,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,30.927936
,2022-01-07,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,33.063856
,2022-01-08,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,16.994433
,2022-01-09,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,2.187968
,2022-01-10,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,26.963444
,2022-01-11,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,32.710988
,2022-01-12,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,31.16544
,2022-01-13,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,31.465301
,2022-01-14,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,32.092212
,2022-01-15,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,25.00922
,2022-01-16,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,6.064745
,2022-01-17,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,31.079084
,2022-01-18,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,32.851134
,2022-01-19,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,33.235191
,2022-01-20,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,32.166604
,2022-01-21,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,32.257399
,2022-01-22,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,16.822687000000002
,2022-01-23,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,4.356169
,2022-01-24,25553,FASTPLAS SE CL,Consumidor Livre,SUDESTE,45.6,29.355444
