MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.516702
,2022-01-02,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.184427
,2022-01-03,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.059565
,2022-01-04,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.460023
,2022-01-05,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.334934
,2022-01-06,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.360298
,2022-01-07,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.108539
,2022-01-08,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.443047
,2022-01-09,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.83849
,2022-01-10,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.340076
,2022-01-11,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.426187
,2022-01-12,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.34438
,2022-01-13,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.19442
,2022-01-14,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.193251
,2022-01-15,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.520646
,2022-01-16,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.534915
,2022-01-17,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.96651
,2022-01-18,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.280817
,2022-01-19,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.91811
,2022-01-20,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.941418
,2022-01-21,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.887505
,2022-01-22,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.456193
,2022-01-23,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.558173
,2022-01-24,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.139408
,2022-01-25,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.794321
,2022-01-26,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.898351
,2022-01-27,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.859693
,2022-01-28,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.815306
,2022-01-29,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,1.099692
,2022-01-30,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.299453
,2022-01-31,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.793909
,2022-02-01,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.048763
,2022-02-02,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.355048
,2022-02-03,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.193802
,2022-02-04,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.755121
,2022-02-05,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.284568
,2022-02-06,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.319728
,2022-02-07,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.931557
,2022-02-08,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.701008
,2022-02-09,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.992989
,2022-02-10,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.945148
,2022-02-11,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.414915
,2022-02-12,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.43073
,2022-02-13,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.504175
,2022-02-14,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.511723
,2022-02-15,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.440883
,2022-02-16,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.20534
,2022-02-17,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.950264
,2022-02-18,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.841434
,2022-02-19,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.039464
,2022-02-20,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,1.523794
,2022-02-21,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.897963
,2022-02-22,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.696265
,2022-02-23,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.838043
,2022-02-24,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.565317
,2022-02-25,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.317683
,2022-02-26,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.285546
,2022-02-27,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.40756
,2022-02-28,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.822061
,2022-03-01,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.815993
,2022-03-02,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.975261
,2022-03-03,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.690242
,2022-03-04,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.803085
,2022-03-05,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.358056
,2022-03-06,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.125354
,2022-03-07,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.563384
,2022-03-08,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.799188
,2022-03-09,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.795477
,2022-03-10,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.78016
,2022-03-11,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.371769
,2022-03-12,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.29925
,2022-03-13,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.486075
,2022-03-14,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.343662
,2022-03-15,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.600169
,2022-03-16,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.473006
,2022-03-17,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.328804
,2022-03-18,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.037516
,2022-03-19,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.340743
,2022-03-20,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.7230600000000003
,2022-03-21,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.764948
,2022-03-22,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.979778
,2022-03-23,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.150313
,2022-03-24,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.32168
,2022-03-25,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.850039
,2022-03-26,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.629628
,2022-03-27,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.607275
,2022-03-28,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.444767
,2022-03-29,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.080684
,2022-03-30,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.035786
,2022-03-31,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.911886
,2022-04-01,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,4.039695
,2022-04-02,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.554389
,2022-04-03,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.693387
,2022-04-04,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.539424
,2022-04-05,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.503646
,2022-04-06,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.169712
,2022-04-07,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.647313
,2022-04-08,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.288971
,2022-04-09,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.626686
,2022-04-10,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.696461
,2022-04-11,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.364233
,2022-04-12,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.220348
,2022-04-13,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.564976
,2022-04-14,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.546702
,2022-04-15,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.466611
,2022-04-16,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.513037
,2022-04-17,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,2.242312
,2022-04-18,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.701343
,2022-04-19,27280,FRI-SABOR,Consumidor Especial,NORDESTE,14.16,3.631032
