MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-02-01,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.428282
,2022-02-02,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.376156
,2022-02-03,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,3.537859
,2022-02-04,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.798078
,2022-02-05,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.187405
,2022-02-06,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.123719
,2022-02-07,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.282557
,2022-02-08,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,3.21221
,2022-02-09,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,3.459342
,2022-02-10,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.66938
,2022-02-11,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.510736
,2022-02-12,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.570248
,2022-02-13,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.122784
,2022-02-14,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,3.0711150000000003
,2022-02-15,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,3.163517
,2022-02-16,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,3.066619
,2022-02-17,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.401351
,2022-02-18,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.328841
,2022-02-19,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.239657
,2022-02-20,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.127445
,2022-02-21,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.793901
,2022-02-22,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.903752
,2022-02-23,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.883466
,2022-02-24,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.887648
,2022-02-25,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.344104
,2022-02-26,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.224165
,2022-02-27,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.11989
,2022-02-28,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.132149
,2022-03-01,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.124797
,2022-03-02,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.1323399999999999
,2022-03-03,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.211171
,2022-03-04,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.333767
,2022-03-05,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.173384
,2022-03-06,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.118527
,2022-03-07,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.749738
,2022-03-08,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.756314
,2022-03-09,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.013504
,2022-03-10,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.885325
,2022-03-11,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.496054
,2022-03-12,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.268631
,2022-03-13,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.122519
,2022-03-14,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.780259
,2022-03-15,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,3.49973
,2022-03-16,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.971906
,2022-03-17,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,3.509526
,2022-03-18,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,3.177427
,2022-03-19,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.222244
,2022-03-20,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.131233
,2022-03-21,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.43367
,2022-03-22,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,3.121931
,2022-03-23,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,3.47799
,2022-03-24,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,1.957253
,2022-03-25,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,3.523816
,2022-03-26,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.155243
,2022-03-27,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.150725
,2022-03-28,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,3.490623
,2022-03-29,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,3.207257
,2022-03-30,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,3.187884
,2022-03-31,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,3.197772
,2022-04-01,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,3.206405
,2022-04-02,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.198209
,2022-04-03,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.13284
,2022-04-04,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,3.111158
,2022-04-05,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.843548
,2022-04-06,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.325683
,2022-04-07,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,3.230586
,2022-04-08,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.768881
,2022-04-09,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.262574
,2022-04-10,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.123604
,2022-04-11,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.706369
,2022-04-12,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.797149
,2022-04-13,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.762868
,2022-04-14,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.20367
,2022-04-15,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.1908439999999999
,2022-04-16,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.129537
,2022-04-17,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.129124
,2022-04-18,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.714281
,2022-04-19,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,3.24289
,2022-04-20,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.708905
,2022-04-21,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.1847369999999999
,2022-04-22,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.120681
,2022-04-23,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.121074
,2022-04-24,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.120858
,2022-04-25,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.547363
,2022-04-26,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,3.20484
,2022-04-27,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.8978
,2022-04-28,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,3.024633
,2022-04-29,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.794376
,2022-04-30,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.167247
,2022-05-01,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.132609
,2022-05-02,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.811251
,2022-05-03,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.838883
,2022-05-04,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.9336260000000003
,2022-05-05,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.333218
,2022-05-06,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.4192780000000003
,2022-05-07,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.2096019999999999
,2022-05-08,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.122649
,2022-05-09,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.735696
,2022-05-10,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.869877
,2022-05-11,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.440929
,2022-05-12,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.964528
,2022-05-13,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,2.855567
,2022-05-14,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.222461
,2022-05-15,28884,FUNDICAO LIDER,Consumidor Especial,SUDESTE,12.0,0.117369
