MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,0.877111
,2022-01-02,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,0.836027
,2022-01-03,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,5.792645
,2022-01-04,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,6.789104
,2022-01-05,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,7.022296
,2022-01-06,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,7.239687
,2022-01-07,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,7.154238
,2022-01-08,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,5.675025
,2022-01-09,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,5.579166
,2022-01-10,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,5.593108
,2022-01-11,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,9.339085
,2022-01-12,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,9.243798
,2022-01-13,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,9.981349
,2022-01-14,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,8.045996
,2022-01-15,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,6.141146
,2022-01-16,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,8.174125
,2022-01-17,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,6.860111
,2022-01-18,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,8.893027
,2022-01-19,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,8.789091
,2022-01-20,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,6.468977
,2022-01-21,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,8.158794
,2022-01-22,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,7.277217
,2022-01-23,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,7.630019
,2022-01-24,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,7.288399
,2022-01-25,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,7.643242
,2022-01-26,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,9.987375
,2022-01-27,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,9.858561
,2022-01-28,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,8.894575
,2022-01-29,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,7.823707
,2022-01-30,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,8.794792
,2022-01-31,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,8.807382
,2022-02-01,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,9.417371
,2022-02-02,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,9.198731
,2022-02-03,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,6.64952
,2022-02-04,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,6.366406
,2022-02-05,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,7.284838
,2022-02-06,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,7.175935
,2022-02-07,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,7.541892
,2022-02-08,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,8.613667
,2022-02-09,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,11.283341
,2022-02-10,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,7.474082999999999
,2022-02-11,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,7.791935
,2022-02-12,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,7.325462
,2022-02-13,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,6.9437560000000005
,2022-02-14,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,9.121327
,2022-02-15,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,9.236418
,2022-02-16,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,10.262341
,2022-02-17,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,7.786966
,2022-02-18,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,9.255334
,2022-02-19,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,4.984636
,2022-02-20,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,6.568263
,2022-02-21,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,7.375769
,2022-02-22,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,7.446614
,2022-02-23,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,9.947179
,2022-02-24,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,9.976495
,2022-02-25,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,9.460789
,2022-02-26,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,6.126639
,2022-02-27,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,5.939844
,2022-02-28,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,8.854137
,2022-03-01,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,9.507572
,2022-03-02,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,11.399501
,2022-03-03,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,11.259155
,2022-03-04,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,10.770548
,2022-03-05,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,8.364998
,2022-03-06,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,8.966257
,2022-03-07,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,8.483955
,2022-03-08,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,9.252962
,2022-03-09,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,11.273067
,2022-03-10,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,9.360719
,2022-03-11,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,7.482989
,2022-03-12,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,7.405118
,2022-03-13,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,8.311137
,2022-03-14,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,7.175258
,2022-03-15,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,10.330593
,2022-03-16,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,9.161192
,2022-03-17,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,9.980534
,2022-03-18,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,8.450617
,2022-03-19,31581,IFLY CL 514,Consumidor Livre,SUDESTE,28.8,7.151504
