MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,0.966953
,2022-01-02,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,1.124213
,2022-01-03,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,9.290885
,2022-01-04,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,9.926121
,2022-01-05,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,9.845649
,2022-01-06,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,9.97221
,2022-01-07,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,9.825238
,2022-01-08,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,5.606702
,2022-01-09,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,2.059619
,2022-01-10,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,8.913683
,2022-01-11,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,8.984847
,2022-01-12,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,9.452909
,2022-01-13,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,9.694687
,2022-01-14,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,9.439118
,2022-01-15,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,5.711516
,2022-01-16,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,1.137146
,2022-01-17,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,8.30006
,2022-01-18,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,9.174044
,2022-01-19,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,9.910219
,2022-01-20,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,10.175105
,2022-01-21,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,10.271407
,2022-01-22,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,5.689233
,2022-01-23,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,1.057714
,2022-01-24,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,8.798271
,2022-01-25,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,9.854327
,2022-01-26,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,10.428442
,2022-01-27,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,11.146261
,2022-01-28,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,10.544714
,2022-01-29,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,5.954437
,2022-01-30,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,1.043052
,2022-01-31,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,6.907405
,2022-02-01,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,8.824116
,2022-02-02,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,8.578489
,2022-02-03,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,8.947194
,2022-02-04,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,9.917666
,2022-02-05,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,5.916823
,2022-02-06,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,1.084725
,2022-02-07,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,8.475508
,2022-02-08,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,10.262831
,2022-02-09,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,6.604004
,2022-02-10,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,9.745249
,2022-02-11,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,9.907201
,2022-02-12,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,5.953299
,2022-02-13,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,1.810368
,2022-02-14,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,9.022568
,2022-02-15,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,10.001228
,2022-02-16,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,9.938481
,2022-02-17,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,9.743366
,2022-02-18,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,9.479658
,2022-02-19,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,6.208696
,2022-02-20,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,1.881467
,2022-02-21,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,9.964949
,2022-02-22,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,10.350485
,2022-02-23,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,10.07589
,2022-02-24,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,10.362692
,2022-02-25,60549,INTELLI,Consumidor Especial,SUDESTE,24.0,9.991193
