MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,0.225464
,2022-01-02,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,5.146567
,2022-01-03,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,5.874926
,2022-01-04,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.084642
,2022-01-05,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.057725
,2022-01-06,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.582329
,2022-01-07,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.794404
,2022-01-08,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,4.850549
,2022-01-09,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,0.623309
,2022-01-10,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,7.012142
,2022-01-11,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.473841
,2022-01-12,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,7.290524
,2022-01-13,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,7.262077
,2022-01-14,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,7.149341
,2022-01-15,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,3.351968
,2022-01-16,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,0.510139
,2022-01-17,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,5.765007
,2022-01-18,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.786922000000001
,2022-01-19,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.406742
,2022-01-20,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,7.12817
,2022-01-21,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.946423
,2022-01-22,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,3.663658
,2022-01-23,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,0.303471
,2022-01-24,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,5.93823
,2022-01-25,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.812886000000001
,2022-01-26,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,7.052425
,2022-01-27,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,5.966827
,2022-01-28,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.888984
,2022-01-29,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,4.457539
,2022-01-30,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,0.420665
,2022-01-31,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.242475
,2022-02-01,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.608746
,2022-02-02,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.490465
,2022-02-03,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.240848
,2022-02-04,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,7.739912
,2022-02-05,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,4.733783
,2022-02-06,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,0.437473
,2022-02-07,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,7.465803
,2022-02-08,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.977047
,2022-02-09,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,7.318889
,2022-02-10,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.969016
,2022-02-11,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.540781
,2022-02-12,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,3.022476
,2022-02-13,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,0.337781
,2022-02-14,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,7.592498
,2022-02-15,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.902165
,2022-02-16,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,5.857573
,2022-02-17,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.758908
,2022-02-18,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.633644
,2022-02-19,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,2.406995
,2022-02-20,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,0.315436
,2022-02-21,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.124267
,2022-02-22,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,7.268184
,2022-02-23,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.61896
,2022-02-24,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,5.719884
,2022-02-25,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,5.457964
,2022-02-26,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,2.359494
,2022-02-27,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,0.276184
,2022-02-28,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.966685
,2022-03-01,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.660897
,2022-03-02,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.363384
,2022-03-03,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,6.339002
,2022-03-04,29293,ITABOM COMERCIAL EI,Comercializador,SUDESTE,12.0,5.497228
