MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202404.0,2024-04-01,112603,ITALO 28-CTBA,Consumidor Especial,SUL,4.08,2.865827
202404.0,2024-04-02,112603,ITALO 28-CTBA,Consumidor Especial,SUL,4.08,3.010671
202404.0,2024-04-03,112603,ITALO 28-CTBA,Consumidor Especial,SUL,4.08,3.047274
202404.0,2024-04-04,112603,ITALO 28-CTBA,Consumidor Especial,SUL,4.08,3.141619
202404.0,2024-04-05,112603,ITALO 28-CTBA,Consumidor Especial,SUL,4.08,3.086194
202404.0,2024-04-06,112603,ITALO 28-CTBA,Consumidor Especial,SUL,4.08,2.887335
202404.0,2024-04-07,112603,ITALO 28-CTBA,Consumidor Especial,SUL,4.08,2.763846
202404.0,2024-04-08,112603,ITALO 28-CTBA,Consumidor Especial,SUL,4.08,2.914399
202404.0,2024-04-09,112603,ITALO 28-CTBA,Consumidor Especial,SUL,4.08,2.839652
202404.0,2024-04-10,112603,ITALO 28-CTBA,Consumidor Especial,SUL,4.08,2.822514
202404.0,2024-04-11,112603,ITALO 28-CTBA,Consumidor Especial,SUL,4.08,2.932266
202404.0,2024-04-12,112603,ITALO 28-CTBA,Consumidor Especial,SUL,4.08,2.899735
202404.0,2024-04-13,112603,ITALO 28-CTBA,Consumidor Especial,SUL,4.08,2.87201
202404.0,2024-04-14,112603,ITALO 28-CTBA,Consumidor Especial,SUL,4.08,2.779698
202404.0,2024-04-15,112603,ITALO 28-CTBA,Consumidor Especial,SUL,4.08,2.808179
202404.0,2024-04-16,112603,ITALO 28-CTBA,Consumidor Especial,SUL,4.08,2.903264
202404.0,2024-04-17,112603,ITALO 28-CTBA,Consumidor Especial,SUL,4.08,2.868764
202404.0,2024-04-18,112603,ITALO 28-CTBA,Consumidor Especial,SUL,4.08,2.756368
202404.0,2024-04-19,112603,ITALO 28-CTBA,Consumidor Especial,SUL,4.08,2.677575
202404.0,2024-04-20,112603,ITALO 28-CTBA,Consumidor Especial,SUL,4.08,2.595187
202404.0,2024-04-21,112603,ITALO 28-CTBA,Consumidor Especial,SUL,4.08,2.598911
202404.0,2024-04-22,112603,ITALO 28-CTBA,Consumidor Especial,SUL,4.08,2.8074820000000003
