MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,0.537999
,2023-01-02,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.28796
,2023-01-03,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.491719
,2023-01-04,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.560241
,2023-01-05,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.543592
,2023-01-06,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.455306
,2023-01-07,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,1.577629
,2023-01-08,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,0.555973
,2023-01-09,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.129286
,2023-01-10,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.253565
,2023-01-11,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.299677
,2023-01-12,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.335377
,2023-01-13,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.21895
,2023-01-14,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,1.580457
,2023-01-15,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,0.663448
,2023-01-16,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.282101
,2023-01-17,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.38172
,2023-01-18,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.419812
,2023-01-19,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.352945
,2023-01-20,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.296632
,2023-01-21,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,0.833144
,2023-01-22,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,0.545632
,2023-01-23,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.364387
,2023-01-24,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.525431
,2023-01-25,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.271661
,2023-01-26,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.155637
,2023-01-27,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.311099
,2023-01-28,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,0.517616
,2023-01-29,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,0.379082
,2023-01-30,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,1.805051
,2023-01-31,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.254204
,2023-02-01,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.054819
,2023-02-02,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,1.98469
,2023-02-03,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.307261
,2023-02-04,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,0.896225
,2023-02-05,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,0.425171
,2023-02-06,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.389067
,2023-02-07,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.57596
,2023-02-08,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.540413
,2023-02-09,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.227786
,2023-02-10,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.274633
,2023-02-11,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,0.865192
,2023-02-12,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,0.723614
,2023-02-13,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.139719
,2023-02-14,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.358613
,2023-02-15,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.388513
,2023-02-16,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.234209
,2023-02-17,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.231118
,2023-02-18,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,0.931249
,2023-02-19,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,0.640173
,2023-02-20,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.225549
,2023-02-21,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.419358
,2023-02-22,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.413744
,2023-02-23,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.219247
,2023-02-24,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.495923
,2023-02-25,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,1.397759
,2023-02-26,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,0.640176
,2023-02-27,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.268662
,2023-02-28,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.495692
,2023-03-01,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.530034
,2023-03-02,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.177891
,2023-03-03,87965,JBS AVES CL 514,Consumidor Livre,SUL,12.24,2.287144
