MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-09-01,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,8.985961
,2022-09-02,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,9.36341
,2022-09-03,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,8.030232
,2022-09-04,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,7.020894999999999
,2022-09-05,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,9.350585
,2022-09-06,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,9.54693
,2022-09-07,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,7.273053
,2022-09-08,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,8.803054
,2022-09-09,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,8.784477
,2022-09-10,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,7.808059
,2022-09-11,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,7.774802
,2022-09-12,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,9.525587
,2022-09-13,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,9.437308
,2022-09-14,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,8.883511
,2022-09-15,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,9.5953
,2022-09-16,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,9.695567
,2022-09-17,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,7.287996000000001
,2022-09-18,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,5.980223
,2022-09-19,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,7.748251
,2022-09-20,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,9.222582
,2022-09-21,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,9.929212
,2022-09-22,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,9.74941
,2022-09-23,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,8.900936999999999
,2022-09-24,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,8.128829
,2022-09-25,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,8.26356
,2022-09-26,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,7.846264
,2022-09-27,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,9.869997
,2022-09-28,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,9.520038
,2022-09-29,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,10.23288
,2022-09-30,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,10.846369
,2022-10-01,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,7.588759
,2022-10-02,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,6.164697
,2022-10-03,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,8.927108
,2022-10-04,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,9.960483
,2022-10-05,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,10.232881
,2022-10-06,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,9.654808
,2022-10-07,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,9.295786
,2022-10-08,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,8.732084
,2022-10-09,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,6.716942
,2022-10-10,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,9.242637
,2022-10-11,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,9.401408
,2022-10-12,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,8.235033
,2022-10-13,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,9.864931
,2022-10-14,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,10.565506
,2022-10-15,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,8.001494
,2022-10-16,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,7.076960000000001
,2022-10-17,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,8.636077
,2022-10-18,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,9.476242
,2022-10-19,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,10.095135
,2022-10-20,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,9.724416
,2022-10-21,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,6.585356
,2022-10-22,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,8.053425
,2022-10-23,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,6.804504
,2022-10-24,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,8.697103
,2022-10-25,38341,KARCHER,Consumidor Especial,SUDESTE,14.4,10.007284
