MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,0.688524
,2022-01-02,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,0.909135
,2022-01-03,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.159296
,2022-01-04,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.561098
,2022-01-05,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.582094
,2022-01-06,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.484822
,2022-01-07,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.523828
,2022-01-08,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,1.811501
,2022-01-09,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,1.169456
,2022-01-10,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.146552
,2022-01-11,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.489878
,2022-01-12,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.525206
,2022-01-13,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.803215
,2022-01-14,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.665214
,2022-01-15,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.031851
,2022-01-16,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,1.429091
,2022-01-17,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.382053
,2022-01-18,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.809303
,2022-01-19,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.759872
,2022-01-20,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.83927
,2022-01-21,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.693428
,2022-01-22,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.09765
,2022-01-23,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,1.580548
,2022-01-24,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.398146
,2022-01-25,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.673616
,2022-01-26,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.708377
,2022-01-27,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.661789
,2022-01-28,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.680004
,2022-01-29,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.016028
,2022-01-30,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,1.136444
,2022-01-31,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.24858
,2022-02-01,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.633293
,2022-02-02,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.587586
,2022-02-03,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.604325
,2022-02-04,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.623865
,2022-02-05,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,1.9781
,2022-02-06,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,1.248074
,2022-02-07,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.220599
,2022-02-08,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.509036
,2022-02-09,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.55825
,2022-02-10,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.527551
,2022-02-11,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.457035
,2022-02-12,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,1.89692
,2022-02-13,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,1.454378
,2022-02-14,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.230379
,2022-02-15,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.677753
,2022-02-16,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.526263
,2022-02-17,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.495711
,2022-02-18,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.660311
,2022-02-19,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.041828
,2022-02-20,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,1.077643
,2022-02-21,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.214618
,2022-02-22,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.633749
,2022-02-23,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.589289
,2022-02-24,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.619818
,2022-02-25,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.596152
,2022-02-26,97380,LOG CONTAGEM,Consumidor Especial,SUDESTE,12.0,2.031993
