MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-09-01,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.201485
,2022-09-02,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.329301
,2022-09-03,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.920727
,2022-09-04,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.42397
,2022-09-05,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.302685
,2022-09-06,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.26013
,2022-09-07,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.718567
,2022-09-08,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.351605
,2022-09-09,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.351894
,2022-09-10,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,4.034822
,2022-09-11,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.514923
,2022-09-12,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.348995
,2022-09-13,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.148478
,2022-09-14,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.597293
,2022-09-15,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.40902
,2022-09-16,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.387277
,2022-09-17,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.770118
,2022-09-18,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.300217
,2022-09-19,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.177978
,2022-09-20,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.326201
,2022-09-21,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.406495
,2022-09-22,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.500444
,2022-09-23,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.403063
,2022-09-24,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,4.004247
,2022-09-25,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.381784
,2022-09-26,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.472183
,2022-09-27,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.330207
,2022-09-28,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.428985
,2022-09-29,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.31513
,2022-09-30,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.347751
,2022-10-01,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,4.043211
,2022-10-02,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.54604
,2022-10-03,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.413321
,2022-10-04,43178,LOJA 244 - JOAO MONLEVADE,Consumidor Especial,SUDESTE,6.48,3.467059
