MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,0.398333
,2022-01-02,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,0.401551
,2022-01-03,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,0.4995599999999999
,2022-01-04,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,0.4315259999999999
,2022-01-05,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,5.971543
,2022-01-06,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,7.931732999999999
,2022-01-07,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,7.649477
,2022-01-08,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,4.541289
,2022-01-09,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,1.051207
,2022-01-10,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,7.462704
,2022-01-11,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,7.917968
,2022-01-12,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,8.237283
,2022-01-13,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,8.413937
,2022-01-14,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,8.296266
,2022-01-15,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,5.114484
,2022-01-16,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,1.272858
,2022-01-17,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,7.973439
,2022-01-18,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,8.604141
,2022-01-19,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,8.649466
,2022-01-20,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,8.954507
,2022-01-21,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,8.667726
,2022-01-22,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,5.417374000000001
,2022-01-23,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,1.466982
,2022-01-24,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,8.489538
,2022-01-25,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,8.519707
,2022-01-26,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,8.405176
,2022-01-27,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,8.584248
,2022-01-28,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,8.394435
,2022-01-29,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,4.936759
,2022-01-30,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,1.223593
,2022-01-31,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,8.249343
,2022-02-01,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,8.381887
,2022-02-02,60826,MARRUCCI,Consumidor Especial,SUDESTE,14.04,8.649531
