MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-12-01,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,6.960391
,2022-12-02,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,6.120172
,2022-12-03,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,3.202758
,2022-12-04,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,4.038589
,2022-12-05,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,5.7825750000000005
,2022-12-06,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,6.883128
,2022-12-07,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,7.439751
,2022-12-08,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,8.55326
,2022-12-09,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,7.248304
,2022-12-10,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,4.316412
,2022-12-11,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,3.287184
,2022-12-12,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,6.431492
,2022-12-13,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,6.218473
,2022-12-14,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,6.470313
,2022-12-15,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,5.999172
,2022-12-16,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,6.212417
,2022-12-17,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,3.076503
,2022-12-18,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,2.150793
,2022-12-19,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,5.416153
,2022-12-20,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,6.080708
,2022-12-21,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,6.53965
,2022-12-22,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,6.957684
,2022-12-23,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,5.981811
,2022-12-24,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,0.8916729999999999
,2022-12-25,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,0.786388
,2022-12-26,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,5.812744
,2022-12-27,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,6.722049
,2022-12-28,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,6.956389
,2022-12-29,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,7.008259
,2022-12-30,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,4.939315
,2022-12-31,60108,MIDIOGRAF ESP,Consumidor Especial,SUL,12.0,0.935226
