MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,0.233793
,2022-01-02,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,0.208488
,2022-01-03,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,0.632319
,2022-01-04,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,0.815539
,2022-01-05,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,0.86609
,2022-01-06,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,1.004941
,2022-01-07,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,0.643471
,2022-01-08,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,0.25791
,2022-01-09,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,0.258602
,2022-01-10,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,6.065011999999999
,2022-01-11,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,9.882135
,2022-01-12,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,12.425364
,2022-01-13,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,11.551625
,2022-01-14,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,11.942492
,2022-01-15,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,11.361715
,2022-01-16,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,11.74105
,2022-01-17,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,12.167105
,2022-01-18,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,12.240066
,2022-01-19,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,11.5294
,2022-01-20,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,12.045156
,2022-01-21,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,7.267049
,2022-01-22,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,2.852085
,2022-01-23,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,1.43419
,2022-01-24,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,11.360316
,2022-01-25,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,12.680011
,2022-01-26,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,12.680646
,2022-01-27,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,12.419756
,2022-01-28,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,10.63557
,2022-01-29,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,7.597978
,2022-01-30,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,0.266583
,2022-01-31,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,1.723165
,2022-02-01,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,2.38743
,2022-02-02,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,2.737652
,2022-02-03,86942,MINERACAO NS CARMO,Consumidor Especial,SUL,14.4,2.578537
