MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-11-01,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,19.197103
,2022-11-02,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,11.146764
,2022-11-03,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,18.627347
,2022-11-04,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,24.72349
,2022-11-05,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,8.373121000000001
,2022-11-06,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,2.597819
,2022-11-07,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,17.273513
,2022-11-08,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,25.20135
,2022-11-09,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,25.283902
,2022-11-10,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,26.915099
,2022-11-11,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,27.011673
,2022-11-12,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,9.385221
,2022-11-13,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,0.763667
,2022-11-14,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,0.845918
,2022-11-15,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,2.02808
,2022-11-16,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,19.64805
,2022-11-17,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,28.761822
,2022-11-18,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,27.277205
,2022-11-19,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,9.245211
,2022-11-20,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,2.708282
,2022-11-21,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,19.264302
,2022-11-22,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,26.129429
,2022-11-23,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,26.811234
,2022-11-24,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,22.899604
,2022-11-25,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,26.694103
,2022-11-26,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,9.476969
,2022-11-27,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,2.706652
,2022-11-28,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,15.949687
,2022-11-29,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,25.860759
,2022-11-30,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,23.388218
,2022-12-01,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,22.849304
,2022-12-02,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,22.000041
,2022-12-03,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,8.230122999999999
,2022-12-04,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,2.740312
,2022-12-05,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,16.679206
,2022-12-06,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,26.257946
,2022-12-07,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,25.38194
,2022-12-08,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,23.69907
,2022-12-09,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,18.374069
,2022-12-10,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,6.455982
,2022-12-11,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,2.528886
,2022-12-12,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,15.391851
,2022-12-13,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,21.566876
,2022-12-14,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,20.116169
,2022-12-15,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,17.849945
,2022-12-16,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,17.408282
,2022-12-17,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,5.83992
,2022-12-18,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,2.316085
,2022-12-19,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,14.807082
,2022-12-20,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,19.564236
,2022-12-21,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,20.866763
,2022-12-22,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,17.523528
,2022-12-23,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,0.725694
,2022-12-24,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,0.733708
,2022-12-25,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,1.8836
,2022-12-26,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,16.672746
,2022-12-27,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,19.902615
,2022-12-28,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,21.779505
,2022-12-29,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,21.676473
,2022-12-30,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,5.886325
,2022-12-31,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUL,29.28,0.7176170000000001
,2023-01-01,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUDESTE,46.776,4.158458
,2023-01-02,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUDESTE,46.776,13.763727
,2023-01-03,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUDESTE,46.776,19.603767
,2023-01-04,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUDESTE,46.776,17.687084
,2023-01-05,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUDESTE,46.776,19.786735
,2023-01-06,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUDESTE,46.776,24.707941
,2023-01-07,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUDESTE,46.776,19.492861
,2023-01-08,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUDESTE,46.776,4.012672
,2023-01-09,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUDESTE,46.776,24.570845
,2023-01-10,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUDESTE,46.776,27.520025
,2023-01-11,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUDESTE,46.776,24.75651
,2023-01-12,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUDESTE,46.776,25.65014
,2023-01-13,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUDESTE,46.776,25.941699
,2023-01-14,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUDESTE,46.776,12.083657
,2023-01-15,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUDESTE,46.776,3.678201
,2023-01-16,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUDESTE,46.776,20.920639
,2023-01-17,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUDESTE,46.776,24.195963
,2023-01-18,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUDESTE,46.776,28.022836
,2023-01-19,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUDESTE,46.776,26.553462
,2023-01-20,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUDESTE,46.776,24.432254
,2023-01-21,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUDESTE,46.776,18.698488
,2023-01-22,31736,NEWSUL SPM LIVRE,Consumidor Livre,SUDESTE,46.776,4.695024
