MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,26966,OLARIA GUIDO,Consumidor Especial,SUL,12.0,2.590817
,2022-01-02,26966,OLARIA GUIDO,Consumidor Especial,SUL,12.0,2.403927
,2022-01-03,26966,OLARIA GUIDO,Consumidor Especial,SUL,12.0,4.904308
,2022-01-04,26966,OLARIA GUIDO,Consumidor Especial,SUL,12.0,5.582021
,2022-01-05,26966,OLARIA GUIDO,Consumidor Especial,SUL,12.0,5.377858
,2022-01-06,26966,OLARIA GUIDO,Consumidor Especial,SUL,12.0,5.377996
,2022-01-07,26966,OLARIA GUIDO,Consumidor Especial,SUL,12.0,5.738729
,2022-01-08,26966,OLARIA GUIDO,Consumidor Especial,SUL,12.0,5.019785
,2022-01-09,26966,OLARIA GUIDO,Consumidor Especial,SUL,12.0,2.887147
,2022-01-10,26966,OLARIA GUIDO,Consumidor Especial,SUL,12.0,5.02491
,2022-01-11,26966,OLARIA GUIDO,Consumidor Especial,SUL,12.0,6.513148
,2022-01-12,26966,OLARIA GUIDO,Consumidor Especial,SUL,12.0,6.1307
,2022-01-13,26966,OLARIA GUIDO,Consumidor Especial,SUL,12.0,5.588285
,2022-01-14,26966,OLARIA GUIDO,Consumidor Especial,SUL,12.0,5.299559
,2022-01-15,26966,OLARIA GUIDO,Consumidor Especial,SUL,12.0,4.229125
,2022-01-16,26966,OLARIA GUIDO,Consumidor Especial,SUL,12.0,3.290917
,2022-01-17,26966,OLARIA GUIDO,Consumidor Especial,SUL,12.0,5.385932
,2022-01-18,26966,OLARIA GUIDO,Consumidor Especial,SUL,12.0,5.168553
,2022-01-19,26966,OLARIA GUIDO,Consumidor Especial,SUL,12.0,6.16334
,2022-01-20,26966,OLARIA GUIDO,Consumidor Especial,SUL,12.0,5.561126
,2022-01-21,26966,OLARIA GUIDO,Consumidor Especial,SUL,12.0,4.978881
